uw_price,uw_rank,socre,Underwriter Name,Rank8084,Rank8591,Rank9200,Rank0104,Rank0507,Rank0809,Rank1011,Rank1217,Rank1820,Unnamed: 10
 Roth Capital Partners ,Roth Capital Partners Inc,100,Roth Capital Partners Inc,-9.0,-9.0,4.001,4.001,4.001,4.001,5.001,5.001,,
SunTrust Robinson,SunTrust Robinson Humphrey,100,SunTrust Robinson Humphrey,-9.0,-9.0,-9.0,6.001,6.001,6.001,6.501,6.501,7.001,
 Markets Lake Street,State Street Capital Markets,85,State Street Capital Markets,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,,,
Simmons & Company,Simmons & Co,82,Simmons & Co,-9.0,-9.0,5.001,-9.0,-9.0,-9.0,-9.0,6.001,,
 Credit Suisse ,Credit Suisse First Boston,100,Credit Suisse First Boston,-9.0,-9.0,9.001,9.001,9.001,9.001,8.501,,,
SG Cowen,Cowen,100,Cowen,-9.0,5.5,7.001,-9.0,7.001,7.001,6.501,7.001,7.001,
Wunderlich,"Wunderlich Securities, Inc.",100,"Wunderlich Securities, Inc.",-9.0,-9.0,-9.0,-9.0,3.001,3.001,4.001,4.001,,
Wells Fargo Securities,Wells Fargo,100,Wells Fargo,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,8.001,8.001,8.001,
Needham & Company,Needham & Co Inc,76,Needham & Co Inc,-9.0,6.0,5.001,5.001,5.001,5.001,-9.0,5.001,5.001,
Rodman Renshaw,Rodman & Renshaw Inc,100,Rodman & Renshaw Inc,-9.0,5.5,2.001,-9.0,2.001,2.001,2.001,,,
Jefferies & Company,Ferris & Company,84,Ferris & Company,5.001,5.13,5.001,-9.0,-9.0,-9.0,-9.0,,,
A.G. Edwards,Spencer Edwards,78,Spencer Edwards,-9.0,-9.0,3.001,3.001,-9.0,-9.0,-9.0,,,
 BMO Capital Markets​,BMO Capital Markets,100,BMO Capital Markets,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,7.001,7.001,
Janney Montgomery Scott,Janney Montgomery Scott Inc,100,Janney Montgomery Scott Inc,5.0,6.0,7.001,7.001,5.001,5.001,-9.0,,,
​ Citigroup,Citigroup Global Markets Inc,100,Citigroup Global Markets Inc,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,9.001,9.001,9.001,
J.P.Morgan,JP Morgan (JPM),87,JP Morgan (JPM),-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
 Craig-Hallum Capital Group,"Craig-Hallum, Inc.",86,"Craig-Hallum, Inc.",4.0,4.5,4.001,-9.0,4.001,4.001,-9.0,,,
Northland Capital Markets,Northland Capital Markets,100,Northland Capital Markets,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,3.001,,
Ladenberg Thalman,Ladenburg Thalmann & Co,84,Ladenburg Thalmann & Co,5.0,6.0,6.001,6.001,6.001,6.001,6.001,,,
AMTD Global Markets,AMTD Global Markets,100,AMTD Global Markets,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,7.501,
W.R. Hambrecht,W.R. Hambrecht & Company,100,W.R. Hambrecht & Company,-9.0,-9.0,7.001,7.001,7.001,7.001,7.001,7.001,,
 Simmons & Company,Simmons & Co,82,Simmons & Co,-9.0,-9.0,5.001,-9.0,-9.0,-9.0,-9.0,6.001,,
Imperial Capital,Imperial-Cap,86,Imperial-Cap,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,4.001,,,
"MDB Capital Group, LLC",MDB-Capital,100,MDB-Capital,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.001,4.001,,
RBC Capital Markets,RBC Capital Markets,100,RBC Capital Markets,-9.0,-9.0,-9.0,7.001,7.001,8.001,8.001,8.001,8.001,
CIBC World Markets,CIBC World Markets,100,CIBC World Markets,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,,,
I-Bankers,I-Bankers Securities Inc,100,I-Bankers Securities Inc,-9.0,-9.0,3.001,2.001,2.001,2.001,2.001,,,
W.R. Hambrecht+Co,W.R. Hambrecht & Company,90,W.R. Hambrecht & Company,-9.0,-9.0,7.001,7.001,7.001,7.001,7.001,7.001,,
GunnAllen Financial,GunnAllen Financial Inc,100,GunnAllen Financial Inc,-9.0,-9.0,3.001,3.001,3.001,3.001,-9.0,,,
"Ferris, Baker Watts","Ferris, Baker Watts",100,"Ferris, Baker Watts",-9.0,-9.0,5.001,5.001,5.001,5.001,-9.0,,,
Stifel Nicolas,Stifel,100,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
Univest Securities,Univest Securities,100,Univest Securities,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,3.001,
Cantor,"Cantor, Fitzgerald & Co., Inc.",100,"Cantor, Fitzgerald & Co., Inc.",-9.0,-9.0,6.001,6.001,6.001,6.001,6.001,6.001,6.001,
Maxim Group,Maxim Group LLC,100,Maxim Group LLC,-9.0,-9.0,-9.0,2.001,3.001,3.001,3.001,3.001,3.001,
 J.P. Morgan,JP Morgan (JPM),87,JP Morgan (JPM),-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
 Canaccord Genuity,Canaccord Genuity,100,Canaccord Genuity,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,6.001,6.001,,
" Sandler O’Neill + Partners, L.P.",Sandler O'Neill Partners,100,Sandler O'Neill Partners,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,7.501,7.501,
William Blair,William Blair & Co,100,William Blair & Co,5.0,7.875,7.001,7.001,7.001,7.001,7.001,7.001,,
 BB&T Capital Markets,BB&T Capital Markets,100,BB&T Capital Markets,-9.0,-9.0,7.001,7.001,6.001,6.001,6.001,-9.0,-9.0,
Raymond James,Raymond James & Associates Inc,100,Raymond James & Associates Inc,4.0,5.625,7.001,7.001,7.001,7.001,7.001,7.501,7.501,
 SMBC Nikko,Nikko Securities (Europe),67,Nikko Securities (Europe),-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,,,
ING Barings,ING,100,ING,-9.0,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,,,
Burnham Securities,Burnham Securities Inc,100,Burnham Securities Inc,-9.0,-9.0,5.001,-9.0,-9.0,-9.0,-9.0,3.001,,
 Roth Capital Partners,Roth Capital Partners Inc,100,Roth Capital Partners Inc,-9.0,-9.0,4.001,4.001,4.001,4.001,5.001,5.001,,
CSFirst Boston,CS First Boston,97,CS First Boston,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,-9.0,,,
"Keefe, Bruyette & Woods (A Stifel Company )",Stifel,100,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
Somerset Financial,Somerset Financial Group Inc,100,Somerset Financial Group Inc,-9.0,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,,,
 Summer Street Research Partners,Summer Street,100,Summer Street,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,3.001,,
 UBS Securitie,UBS,100,UBS,-9.0,-9.0,-9.0,8.001,-9.0,-9.0,8.501,,,
CIBC Worldmarkets,CIBC World Markets,69,CIBC World Markets,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,,,
UBS Investment Trust,UBS,100,UBS,-9.0,-9.0,-9.0,8.001,-9.0,-9.0,8.501,,,
Laidlaw & Company (UK) Ltd.,Gunn & Company,74,Gunn & Company,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,,,
CF First Boston,CS First Boston,93,CS First Boston,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,-9.0,,,
Barclay Capital,Barclays Capital,97,Barclays Capital,-9.0,-9.0,-9.0,-9.0,8.001,8.001,8.001,8.001,8.001,
 Robert W. Baird,Robert W Baird & Co Inc,100,Robert W Baird & Co Inc,6.5,5.75,7.001,7.001,7.001,7.001,-9.0,,,
 Cowen ,Cowen,100,Cowen,-9.0,5.5,7.001,-9.0,7.001,7.001,6.501,7.001,7.001,
 Dahlman Rose,Dahlman-Rose,100,Dahlman-Rose,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,,,
Ferris Baker Watts,"Ferris, Baker Watts",100,"Ferris, Baker Watts",-9.0,-9.0,5.001,5.001,5.001,5.001,-9.0,,,
"Goldman Sachs,",Goldman Sachs Asia,100,Goldman Sachs Asia,-9.0,-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,
The Shemano Group,Shemano Group,100,Shemano Group,-9.0,-9.0,-9.0,4.001,-9.0,-9.0,-9.0,,,
EarlyBirdCapital,Earlybirdcapital Inc,100,Earlybirdcapital Inc,-9.0,-9.0,-9.0,1.001,2.001,3.001,4.001,4.001,5.001,
"Baird, BMO Capital Markets, Janney Montgomery Scott",BMO Capital Markets,100,BMO Capital Markets,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,7.001,7.001,
Roberston Stephens,Robertson Stephens & Co,87,Robertson Stephens & Co,-9.0,8.75,8.001,-9.0,-9.0,-9.0,-9.0,,,
 Deutsche Bank Securities,Deutsche Bank Securities Corp,100,Deutsche Bank Securities Corp,-9.0,-9.0,9.001,9.001,9.001,9.001,8.501,8.501,8.501,
 B. Riley & Co.,B-Riley,100,B-Riley,,,,,,,5.001,5.001,5.001,
 Sandler ONeill & Partners,Sandler O'Neill Partners,94,Sandler O'Neill Partners,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,7.501,7.501,
"Global Hunter Securities, LLC",Global-Hunter,100,Global-Hunter,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,6.001,,,
 Merrill Lynch,Merrill Lynch White Weld Cptl,100,Merrill Lynch White Weld Cptl,9.0,8.875,-9.0,-9.0,-9.0,-9.0,-9.0,,,
 Guggenheim Securities ,Guggenheim Securities,100,Guggenheim Securities,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,,
Joseph Gunnar & Co.,"Joseph Gunnar & Co., LLC",100,"Joseph Gunnar & Co., LLC",-9.0,-9.0,4.001,-9.0,3.001,3.001,-9.0,,,
" Sandler O'Neill + Partners, L.P.",Sandler O'Neill Partners,100,Sandler O'Neill Partners,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,7.501,7.501,
Allen & Co.,"Elliot Allen & Co., Inc.",100,"Elliot Allen & Co., Inc.",-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,,,
Alexander Capital,KKR Capital,78,KKR Capital,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.001,8.001,
 UBS Securities,UBS,100,UBS,-9.0,-9.0,-9.0,8.001,-9.0,-9.0,8.501,,,
 Deutsche Bank  Securities,Deutsche Bank Securities Corp,100,Deutsche Bank Securities Corp,-9.0,-9.0,9.001,9.001,9.001,9.001,8.501,8.501,8.501,
 Stife,Stifel,91,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
 Evercore ISI,Evercore,100,Evercore,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,
 VTB Capital,MDB-Capital,82,MDB-Capital,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.001,4.001,,
" Keefe, Bruyette & Woods (A Stifel Company)",Stifel,100,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
 UBS Investment Bank (In alphabetical order),UBS,100,UBS,-9.0,-9.0,-9.0,8.001,-9.0,-9.0,8.501,,,
 BTIG,BTIG,100,BTIG,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,6.001,6.501,
Pali,"Pali Capital, Inc.",100,"Pali Capital, Inc.",-9.0,-9.0,-9.0,-9.0,2.001,2.001,-9.0,,,
Sun Trust,Artoc Bank and Trust,71,Artoc Bank and Trust,2.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,,
 Guggenheim Securities,Guggenheim Securities,100,Guggenheim Securities,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,,
 Dowling & Partners Securities,BA Securities,87,BA Securities,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
William Blair & Company,William Blair & Co,90,William Blair & Co,5.0,7.875,7.001,7.001,7.001,7.001,7.001,7.001,,
 D.A. Davidson,Kashner Davidson Securities,80,Kashner Davidson Securities,-9.0,3.001,3.001,3.001,-9.0,-9.0,-9.0,-9.0,-9.0,
FBR Capital Markets,AB Capital Markets,92,AB Capital Markets,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
Piper Jafftay,Piper Jaffray Inc,80,Piper Jaffray Inc,-9.0,-9.0,7.001,-9.0,7.001,7.001,7.501,7.501,7.501,
Merril Lynch,Merrill Lynch & Co Inc,75,Merrill Lynch & Co Inc,-9.0,9.001,9.001,9.001,9.001,9.001,8.501,8.501,8.501,
Johnson Rice,Johnson Rice & Co,100,Johnson Rice & Co,-9.0,4.001,4.001,-9.0,4.001,4.001,4.001,4.001,,
FBR,B-Riley-FBR,100,B-Riley-FBR,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,5.001,
Craig-Hallum Capital,"Craig-Hallum, Inc.",86,"Craig-Hallum, Inc.",4.0,4.5,4.001,-9.0,4.001,4.001,-9.0,,,
 Morgan Stanley​,Morgan Stanley,100,Morgan Stanley,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,,,
 Dominick & Dominick,Dominick,100,Dominick,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,3.001,,,
JMP Securitites,Kemper Securities,81,Kemper Securities,-9.0,4.001,6.001,-9.0,-9.0,-9.0,-9.0,,,
" RBC Capital Markets, LLC",RBC Capital Markets,100,RBC Capital Markets,-9.0,-9.0,-9.0,7.001,7.001,8.001,8.001,8.001,8.001,
 CLSA,McLarty,55,McLarty,4.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,,
 Duetsche Bank,Deutsche Bank AG,83,Deutsche Bank AG,-9.0,-9.0,9.001,9.001,-9.0,-9.0,-9.0,,,
EarlyBirdCaptial,Earlybirdcapital Inc,83,Earlybirdcapital Inc,-9.0,-9.0,-9.0,1.001,2.001,3.001,4.001,4.001,5.001,
 Jefferies,Jefferies & Co Inc,100,Jefferies & Co Inc,-9.0,5.333,5.001,5.001,5.001,6.001,8.001,8.001,8.001,
 Loop Capital Markets,AB Capital Markets,91,AB Capital Markets,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
 J.P. Morgan ,JP Morgan (JPM),87,JP Morgan (JPM),-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
"Sandler O’Neill & Partners, L.P",Sandler O'Neill Partners,100,Sandler O'Neill Partners,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,7.501,7.501,
Key Banc Capital Markets,AB Capital Markets,91,AB Capital Markets,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
J.P. Morgan Securities,Wedbush Morgan Securities,89,Wedbush Morgan Securities,-9.0,5.0,5.001,-9.0,4.001,4.001,-9.0,6.001,,
Deutsche Bank Securities,Deutsche Bank Securities Corp,100,Deutsche Bank Securities Corp,-9.0,-9.0,9.001,9.001,9.001,9.001,8.501,8.501,8.501,
J.P Morgan,JP Morgan (JPM),87,JP Morgan (JPM),-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
 Barclays ,Barclays Capital,100,Barclays Capital,-9.0,-9.0,-9.0,-9.0,8.001,8.001,8.001,8.001,8.001,
BofA Securities,BA Securities,93,BA Securities,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
Needham,Needham & Co Inc,100,Needham & Co Inc,-9.0,6.0,5.001,5.001,5.001,5.001,-9.0,5.001,5.001,
Piper Jaffray,US Bancorp Piper Jaffray,100,US Bancorp Piper Jaffray,-9.0,-9.0,7.001,7.001,-9.0,-9.0,-9.0,,,
Johnson Rice & Company,Johnson Rice & Co,89,Johnson Rice & Co,-9.0,4.001,4.001,-9.0,4.001,4.001,4.001,4.001,,
Lazard,Lazard Freres & Co LLC,100,Lazard Freres & Co LLC,8.0,8.75,9.001,9.001,-9.0,8.001,8.001,,,
FTN Midwest Securities,"First Midwest Securities, Inc",90,"First Midwest Securities, Inc",-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,,,
 Deutsche Bank SecuritieS,Deutsche Bank Securities Corp,100,Deutsche Bank Securities Corp,-9.0,-9.0,9.001,9.001,9.001,9.001,8.501,8.501,8.501,
Dawson James Securities,"Dawson James Securities, Inc.",88,"Dawson James Securities, Inc.",-9.0,-9.0,-9.0,-9.0,2.001,2.001,2.001,2.001,,
A.G. Edwrads & Sons,AG Edwards & Sons Inc,80,AG Edwards & Sons Inc,6.5,8.0,7.001,7.001,7.001,7.001,-9.0,-9.0,-9.0,
Paulson Investment,Paulson Investment Co,100,Paulson Investment Co,4.0,5.0,3.001,3.001,3.001,3.001,3.001,3.001,,
 Piper Sandler,Piper-Sandler,100,Piper-Sandler,-9.0,-9.0,-9.0,-9.0,-9.0,,,,7.501,
BTIG,BTIG,100,BTIG,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,6.001,6.501,
RBC Dominion,RBC Dominion Securities,100,RBC Dominion Securities,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,,,
 Morgan Stanley,Morgan Stanley,100,Morgan Stanley,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,,,
Friedman Billings,Friedman Billings Ramsey Group,100,Friedman Billings Ramsey Group,-9.0,-9.0,5.001,5.001,5.001,5.001,5.001,5.001,,
ThinkEquity (a division of Fordham Financial Management) ,BC Financial,86,BC Financial,-9.0,2.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
SVB Leerink,Leerink-SVB,100,Leerink-SVB,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,,7.001,
 CMBI,Cial,50,Cial,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,,,
 UBS,UBS AG,100,UBS AG,-9.0,-9.0,8.001,-9.0,-9.0,-9.0,-9.0,,,
 BofA Merrill Lynch ,Merrill Lynch White Weld Cptl,84,Merrill Lynch White Weld Cptl,9.0,8.875,-9.0,-9.0,-9.0,-9.0,-9.0,,,
Merrill Lynch ,Merrill Lynch White Weld Cptl,100,Merrill Lynch White Weld Cptl,9.0,8.875,-9.0,-9.0,-9.0,-9.0,-9.0,,,
Advest,Advest Inc,100,Advest Inc,5.5,7.125,6.001,6.001,-9.0,-9.0,-9.0,-9.0,-9.0,
 Barclays Capital ,Barclays Capital,100,Barclays Capital,-9.0,-9.0,-9.0,-9.0,8.001,8.001,8.001,8.001,8.001,
Jaffray Stifel,Stifel,100,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
Axiom Capital Management,Cardinal Capital Management,86,Cardinal Capital Management,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
" Keefe, Bruyette & Woods (A Stifel Company )",Stifel,100,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
CSFB,HSBC,50,HSBC,-9.0,-9.0,8.001,-9.0,-9.0,-9.0,8.001,8.001,8.001,
 Network 1 Securities,Network 1 Financial Securities,100,Network 1 Financial Securities,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,,,
Morgan Stanly,Morgan Stanley,96,Morgan Stanley,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,,,
W.R. Hambrecht + Co,W.R. Hambrecht & Company,90,W.R. Hambrecht & Company,-9.0,-9.0,7.001,7.001,7.001,7.001,7.001,7.001,,
 A.G.P.,A. G. Becker Paribas Inc.,75,A. G. Becker Paribas Inc.,7.001,7.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
 Network 1 Financial Securities,Network 1 Financial Securities,100,Network 1 Financial Securities,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,,,
B. Riley FBR,B-Riley-FBR,100,B-Riley-FBR,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,5.001,
" Tudor, Pickering, Holt",Tudor-Pickering,100,Tudor-Pickering,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5.001,,,
 Cowen​,Cowen,100,Cowen,-9.0,5.5,7.001,-9.0,7.001,7.001,6.501,7.001,7.001,
Merrill Lynch,Merrill Lynch White Weld Cptl,100,Merrill Lynch White Weld Cptl,9.0,8.875,-9.0,-9.0,-9.0,-9.0,-9.0,,,
 Boustead Securities,BA Securities,87,BA Securities,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
ThinkEquity,Thinkequity Partners LLC,100,Thinkequity Partners LLC,-9.0,-9.0,-9.0,-9.0,5.001,5.001,-9.0,,,
Credit Suisse,Credit Suisse First Boston,100,Credit Suisse First Boston,-9.0,-9.0,9.001,9.001,9.001,9.001,8.501,,,
Morgan Stanley.Deutsche Bank,Morgan Stanley,100,Morgan Stanley,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,,,
 Bradesco BBI,Baring Brothers & Co Ltd,53,Baring Brothers & Co Ltd,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,-9.0,,,
Salomon Smith Barney,Salomon Smith Barney Interntl,100,Salomon Smith Barney Interntl,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,-9.0,,,
 Brookline Capital Markets,AB Capital Markets,91,AB Capital Markets,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
WallachBeth Capital,KKR Capital,78,KKR Capital,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.001,8.001,
UBS Warburg,UBS,100,UBS,-9.0,-9.0,-9.0,8.001,-9.0,-9.0,8.501,,,
"Goldman Sachs, Salomon Smith Barney",Salomon Smith Barney,100,Salomon Smith Barney,-9.0,-9.0,9.001,9.001,-9.0,-9.0,-9.0,,,
Equity Securities,Equity Securities Trading,100,Equity Securities Trading,0.0,2.001,2.001,-9.0,-9.0,-9.0,-9.0,,,
AMTD,AMTD Global Markets,100,AMTD Global Markets,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,7.501,
Morgan Stanlet Dean Witter,Dean Witter,100,Dean Witter,-9.0,-9.0,8.001,-9.0,-9.0,-9.0,-9.0,,,
 Knight Capital Markets,Knight Capital Markets,100,Knight Capital Markets,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5.001,,,
 Ladenburg Thalmann & Co. Inc.,Ladenburg Thalmann & Co,100,Ladenburg Thalmann & Co,5.0,6.0,6.001,6.001,6.001,6.001,6.001,,,
"Bear, Stearns",Bear Stearns International,100,Bear Stearns International,-9.0,-9.0,8.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
 C.L. King & Associates,CL King & Associates Inc,88,CL King & Associates Inc,-9.0,-9.0,5.001,-9.0,-9.0,-9.0,5.001,,,
Baird,Robert W Baird & Co Inc,100,Robert W Baird & Co Inc,6.5,5.75,7.001,7.001,7.001,7.001,-9.0,,,
Capital Growth Financial,Capital Growth Financial,100,Capital Growth Financial,-9.0,-9.0,-9.0,3.001,3.001,3.001,-9.0,-9.0,-9.0,
Thomas Weisels Partners,Thomas Weisel Partners LLC,90,Thomas Weisel Partners LLC,-9.0,-9.0,8.001,8.001,8.001,7.001,7.001,,,
" Axiom Capital Management,",Cardinal Capital Management,86,Cardinal Capital Management,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
Haitong International,Haitong International,100,Haitong International,,,,,,,,,8.001,
Gunn Allen,Allen C. Ewing,67,Allen C. Ewing,5.001,-9.0,5.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
WR Hambrecht,Hambrecht & Quist,86,Hambrecht & Quist,6.0,8.0,8.001,-9.0,-9.0,-9.0,-9.0,,,
 Tudor Pickering Holt,Tudor-Pickering,100,Tudor-Pickering,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5.001,,,
CS First Boston,CS First Boston,100,CS First Boston,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,-9.0,,,
Wm Blair,D. H. Blair,77,D. H. Blair,4.001,4.001,4.001,-9.0,-9.0,-9.0,-9.0,,,
 Raymond James,Raymond James & Associates Inc,100,Raymond James & Associates Inc,4.0,5.625,7.001,7.001,7.001,7.001,7.001,7.501,7.501,
​Jefferies,Jefferies & Co Inc,100,Jefferies & Co Inc,-9.0,5.333,5.001,5.001,5.001,6.001,8.001,8.001,8.001,
 Valuable Capital Limited,Valuable Capital,100,Valuable Capital,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,4.001,
Adams Harkness,Adams Harkness & Hill Inc,100,Adams Harkness & Hill Inc,-9.0,5.001,5.001,5.001,-9.0,-9.0,-9.0,-9.0,-9.0,
 TD Securities,TD Securities Inc,100,TD Securities Inc,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,7.001,,,
 Shenwan Hogyuan ,Shemano Group,57,Shemano Group,-9.0,-9.0,-9.0,4.001,-9.0,-9.0,-9.0,,,
 William Blair & Company,William Blair & Co,90,William Blair & Co,5.0,7.875,7.001,7.001,7.001,7.001,7.001,7.001,,
Macquarie Capital,KKR Capital,78,KKR Capital,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.001,8.001,
 Aegis Capital Corp,Aegis Capital,100,Aegis Capital,-9.0,-9.0,4.001,-9.0,-9.0,-9.0,3.001,3.001,3.001,
Brean Murray,Brean Murray & Co Inc,100,Brean Murray & Co Inc,4.001,4.001,4.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
Chase H&Q,Chase H&Q,100,Chase H&Q,-9.0,-9.0,8.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
 Citi,Citigroup,62,Citigroup,-9.0,-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,
Craig-Hallum Capital Group,"Craig-Hallum, Inc.",86,"Craig-Hallum, Inc.",4.0,4.5,4.001,-9.0,4.001,4.001,-9.0,,,
 XP Investments,Profile Investments,88,Profile Investments,-9.0,2.001,-9.0,-9.0,-9.0,-9.0,-9.0,,,
​Barclays,Barclays Capital,100,Barclays Capital,-9.0,-9.0,-9.0,-9.0,8.001,8.001,8.001,8.001,8.001,
 Lazard Capital Markets,Lazard,100,Lazard,-9.0,-9.0,9.001,9.001,-9.0,8.001,8.001,8.001,,
 RBC Capital Market,RBC Capital Markets,97,RBC Capital Markets,-9.0,-9.0,-9.0,7.001,7.001,8.001,8.001,8.001,8.001,
Roth Capital Partners ,Roth Capital Partners Inc,100,Roth Capital Partners Inc,-9.0,-9.0,4.001,4.001,4.001,4.001,5.001,5.001,,
 Regions Securities,BA Securities,87,BA Securities,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
Barclays,Barclays Capital,100,Barclays Capital,-9.0,-9.0,-9.0,-9.0,8.001,8.001,8.001,8.001,8.001,
Benchmark Company,The Benchmark Company,100,The Benchmark Company,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,4.001,
 Haitong Internationa,Haitong International,98,Haitong International,,,,,,,,,8.001,
Cowen and Company,Cowen,100,Cowen,-9.0,5.5,7.001,-9.0,7.001,7.001,6.501,7.001,7.001,
 UBS Investment Bank​,UBS,100,UBS,-9.0,-9.0,-9.0,8.001,-9.0,-9.0,8.501,,,
