Issuer,ASVI,mean_SVI,week_-9,week_-8,week_-7,week_-6,week_-5,week_-4,week_-3,week_-2,week_-1,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,Trade_Date
Acme Packet,0.37037357483232247,13.75,24.0,20.0,8.0,18.0,8.0,11.0,21.0,3.0,21.0,100.0,74.0,27.0,24.0,16.0,19.0,10.0,22.0,16.0,16.0,2006-10-12
Acorda Therapeutics,15.671808704579888,12.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,64.0,93.0,31.0,0.0,0.0,89.0,30.0,0.0,29.0,0.0,63.0,2006-02-09
Acorn International,0.8319833850675051,31.0,28.0,19.0,56.0,9.0,27.0,20.0,9.0,54.0,54.0,100.0,17.0,34.0,33.0,67.0,41.0,25.0,25.0,16.0,0.0,2007-05-02
Acquicor Technology,0.0,5.5,0.0,0.0,0.0,0.0,15.0,0.0,15.0,14.0,0.0,100.0,14.0,28.0,29.0,0.0,0.0,14.0,0.0,14.0,0.0,2006-03-15
Act II Global Acquisition,15.096444681204078,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,35.0,0.0,0.0,35.0,35.0,34.0,0.0,0.0,35.0,2019-04-26
Actions Semiconductor,0.5855163354770991,37.5,15.0,0.0,46.0,15.0,15.0,46.0,34.0,100.0,44.0,82.0,14.0,0.0,0.0,0.0,15.0,27.0,13.0,13.0,0.0,2005-11-29
Active Network (The),0.10227883416315553,65.375,58.0,70.0,74.0,38.0,81.0,93.0,35.0,60.0,72.0,79.0,100.0,92.0,64.0,73.0,55.0,52.0,46.0,57.0,70.0,2011-05-24
Acushnet Holdings,16.012735246411598,17.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,27.0,90.0,100.0,45.0,17.0,35.0,0.0,25.0,17.0,25.0,9.0,0.0,2016-10-28
Acutus Medical,1.1451313302779458,10.625,0.0,9.0,5.0,10.0,5.0,5.0,12.0,17.0,22.0,100.0,29.0,22.0,14.0,19.0,7.0,16.0,9.0,10.0,17.0,2020-08-06
Adamas Pharmaceuticals,-0.9304749342707539,32.5,46.0,43.0,15.0,14.0,73.0,59.0,14.0,28.0,14.0,73.0,61.0,45.0,45.0,29.0,73.0,15.0,33.0,16.0,16.0,2014-04-10
Adams Respiratory Therapeutics,0.0,12.5,48.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,49.0,49.0,49.0,55.0,0.0,89.0,0.0,0.0,2005-07-20
Adaptimmune Therapeutics PLC,15.009433329466965,12.625,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,100.0,0.0,33.0,0.0,0.0,0.0,2015-05-06
Adaptive Biotechnologies,1.1239290581919197,9.625,5.0,5.0,7.0,6.0,7.0,19.0,4.0,9.0,20.0,100.0,33.0,22.0,10.0,15.0,12.0,18.0,22.0,16.0,13.0,2019-06-27
Addus HomeCare,0.0,5.625,0.0,0.0,15.0,15.0,0.0,15.0,0.0,0.0,0.0,100.0,0.0,0.0,14.0,0.0,28.0,0.0,0.0,0.0,16.0,2009-10-28
Adecoagro S.A.,15.009433329466965,16.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,33.0,98.0,95.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-01-28
Adeptus Health,1.3173005134432882,12.125,0.0,0.0,15.0,5.0,10.0,11.0,0.0,28.0,28.0,100.0,6.0,0.0,17.0,11.0,17.0,29.0,17.0,16.0,27.0,2014-06-25
Adesto Technologies,1.1433479153527073,36.375,21.0,10.0,10.0,30.0,31.0,0.0,50.0,80.0,80.0,100.0,30.0,40.0,20.0,0.0,10.0,30.0,10.0,0.0,23.0,2015-10-27
Adeza Biomedical,16.118095750958314,29.75,0.0,0.0,0.0,0.0,0.0,78.0,60.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,2004-12-09
Adial Pharmaceuticals,0.0,3.25,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,27.0,26.0,13.0,39.0,0.0,13.0,13.0,13.0,25.0,0.0,2018-07-27
Aduro Biotech,1.624704149134791,16.5,0.0,2.0,2.0,2.0,23.0,11.0,17.0,42.0,33.0,100.0,34.0,30.0,23.0,14.0,27.0,11.0,16.0,23.0,16.0,2015-04-15
Advance America Cash Advance,0.655875668442575,44.625,26.0,42.0,49.0,64.0,62.0,0.0,21.0,40.0,79.0,20.0,24.0,84.0,60.0,55.0,55.0,73.0,36.0,37.0,53.0,2004-12-15
AdvancePierre Foods Holdings,15.53827733427679,13.625,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-07-15
Advanced Analogic Technologies,0.0,16.5,0.0,0.0,33.0,0.0,0.0,0.0,33.0,66.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,2005-08-03
Advanced Disposal Services,0.6455189103569294,33.25,9.0,18.0,45.0,70.0,8.0,42.0,17.0,25.0,41.0,57.0,57.0,8.0,66.0,74.0,63.0,32.0,16.0,100.0,61.0,2016-10-06
Advanced Life Sciences,1.3862940549975193,43.25,50.0,0.0,0.0,0.0,0.0,100.0,99.0,49.0,98.0,99.0,48.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,41.0,2005-08-04
Aegean Marine Petroleum Network,16.034714150714915,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,93.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006-12-07
Aegerion Pharmaceuticals,15.363073279446223,5.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,91.0,23.0,23.0,44.0,45.0,0.0,43.0,0.0,0.0,0.0,2010-10-22
Aeglea BioTherapeutics,2.302584192994541,20.0,10.0,30.0,0.0,10.0,0.0,10.0,0.0,10.0,100.0,90.0,30.0,0.0,10.0,20.0,10.0,30.0,0.0,10.0,20.0,2016-04-07
AerCap Holdings N.V.,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006-11-20
Aerie Pharmaceuticals,1.5841191108608155,10.875,8.0,8.0,0.0,0.0,8.0,24.0,8.0,0.0,39.0,100.0,54.0,23.0,15.0,30.0,8.0,30.0,0.0,0.0,17.0,2013-10-25
AeroVironment,2.0003034692033252,22.0,3.0,0.0,15.0,15.0,7.0,8.0,23.0,23.0,85.0,100.0,22.0,16.0,8.0,8.0,16.0,27.0,13.0,16.0,10.0,2007-01-22
Aerohive Networks,-0.3580627856105796,53.5,29.0,51.0,23.0,79.0,79.0,57.0,51.0,52.0,36.0,99.0,79.0,58.0,30.0,22.0,30.0,36.0,58.0,54.0,24.0,2014-03-28
Aesthetic Medical International Holdings Group,16.118095750958314,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,73.0,49.0,0.0,0.0,25.0,24.0,25.0,0.0,0.0,0.0,2019-10-25
Affimed Therapeutics B.V.,15.444751293772967,6.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,100.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-09-12
Affirmative Insurance Holdings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,2004-07-09
Affymax,-0.24685999043155693,30.125,41.0,27.0,26.0,13.0,38.0,62.0,13.0,37.0,25.0,100.0,40.0,31.0,27.0,0.0,23.0,67.0,45.0,11.0,33.0,2006-12-14
Afya Limited,0.0,6.875,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,29.0,85.0,0.0,0.0,27.0,0.0,0.0,2019-07-19
Agile Therapeutics,1.8382770822695236,5.375,7.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,22.0,100.0,25.0,8.0,16.0,0.0,25.0,17.0,8.0,8.0,8.0,2014-05-23
Agios Pharmaceuticals,2.19722309585611,13.375,6.0,6.0,0.0,23.0,6.0,12.0,6.0,0.0,54.0,100.0,29.0,18.0,18.0,12.0,6.0,11.0,5.0,11.0,17.0,2013-07-24
Agora,0.006872878343028965,73.625,73.0,67.0,70.0,68.0,74.0,90.0,75.0,72.0,73.0,71.0,82.0,75.0,74.0,65.0,71.0,68.0,65.0,100.0,78.0,2020-06-26
Agria,0.0,58.25,73.0,46.0,58.0,61.0,58.0,58.0,57.0,70.0,58.0,61.0,64.0,64.0,62.0,60.0,52.0,54.0,41.0,57.0,58.0,2007-11-06
Aileron Therapeutics,1.2130220010255917,14.875,14.0,0.0,21.0,0.0,8.0,23.0,30.0,0.0,37.0,100.0,31.0,15.0,0.0,22.0,30.0,15.0,15.0,22.0,15.0,2017-06-29
Aimmune Therapeutics,1.8050040275573345,31.125,0.0,12.0,49.0,49.0,13.0,50.0,0.0,0.0,76.0,100.0,62.0,37.0,48.0,59.0,12.0,46.0,12.0,12.0,68.0,2015-08-06
Air Lease,0.5196361817201636,61.5,32.0,24.0,62.0,49.0,68.0,62.0,51.0,81.0,95.0,100.0,64.0,67.0,70.0,34.0,62.0,57.0,57.0,43.0,85.0,2011-04-18
AirMedia Group,15.068273812173887,12.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,35.0,100.0,0.0,0.0,64.0,65.0,66.0,0.0,0.0,0.0,0.0,2007-11-06
Aircastle,1.0459680562224478,20.75,0.0,52.0,38.0,13.0,0.0,13.0,13.0,0.0,37.0,100.0,13.0,0.0,23.0,0.0,0.0,33.0,22.0,33.0,11.0,2006-08-07
Airgain,1.193921771503192,10.75,10.0,10.0,5.0,11.0,0.0,5.0,11.0,11.0,33.0,80.0,35.0,34.0,92.0,11.0,69.0,100.0,31.0,21.0,52.0,2016-08-12
Airvana,0.3689074174480411,29.75,47.0,14.0,28.0,37.0,32.0,33.0,9.0,38.0,47.0,100.0,76.0,28.0,43.0,5.0,27.0,40.0,30.0,21.0,46.0,2007-07-19
Akcea Therapeutics,0.5162162544410656,26.625,14.0,8.0,31.0,0.0,22.0,15.0,29.0,77.0,31.0,77.0,38.0,52.0,23.0,29.0,23.0,29.0,7.0,88.0,43.0,2017-07-14
Akebia Therapeutics,0.46262330408329344,15.375,26.0,9.0,0.0,18.0,17.0,9.0,26.0,17.0,27.0,95.0,43.0,26.0,35.0,100.0,45.0,27.0,0.0,35.0,9.0,2014-03-20
Akero Therapeutics,1.7376913805119227,20.375,10.0,9.0,9.0,27.0,9.0,18.0,28.0,9.0,54.0,100.0,64.0,9.0,64.0,37.0,9.0,19.0,9.0,37.0,0.0,2019-06-20
Akouos,0.5389959054952651,11.25,4.0,0.0,7.0,15.0,15.0,4.0,7.0,30.0,12.0,100.0,52.0,20.0,12.0,21.0,4.0,12.0,16.0,16.0,8.0,2020-06-26
Alarm.com Holdings,0.0,4.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,100.0,34.0,34.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,2015-06-26
Alberton Acquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-24
Albertsons Companies,0.45425518100777396,44.5,33.0,39.0,48.0,48.0,41.0,30.0,33.0,54.0,63.0,100.0,35.0,28.0,45.0,43.0,45.0,56.0,35.0,43.0,27.0,2020-06-26
Alcentra Capital,-14.771022387607022,29.625,26.0,0.0,26.0,25.0,26.0,52.0,81.0,27.0,0.0,52.0,52.0,83.0,0.0,87.0,59.0,0.0,30.0,30.0,29.0,2014-05-09
Alder BioPharmaceuticals,1.1700704863672877,28.25,9.0,0.0,83.0,9.0,9.0,9.0,29.0,58.0,29.0,47.0,28.0,40.0,11.0,73.0,11.0,0.0,21.0,21.0,32.0,2014-05-08
Aldeyra Therapeutics,15.702580358511796,20.25,0.0,0.0,0.0,63.0,0.0,0.0,0.0,33.0,66.0,0.0,32.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-05-02
Alector,1.2809332676845817,21.75,6.0,14.0,8.0,11.0,9.0,34.0,22.0,31.0,45.0,100.0,34.0,29.0,27.0,27.0,27.0,24.0,12.0,32.0,18.0,2019-02-07
Alexza Pharmaceuticals,-14.077875591662238,16.625,0.0,28.0,0.0,27.0,0.0,0.0,52.0,26.0,0.0,100.0,25.0,25.0,0.0,0.0,26.0,0.0,0.0,51.0,0.0,2006-03-08
Alibaba Group Holding,0.8938165628928394,7.125,3.0,3.0,4.0,3.0,8.0,5.0,11.0,12.0,11.0,100.0,51.0,11.0,7.0,8.0,8.0,10.0,9.0,20.0,0.0,2014-09-19
Alimera Sciences,-0.42285666933190935,24.125,79.0,57.0,38.0,19.0,0.0,0.0,20.0,40.0,19.0,95.0,59.0,59.0,39.0,20.0,100.0,40.0,39.0,0.0,59.0,2010-04-22
Allakos,1.3862934236206232,12.125,0.0,8.0,8.0,8.0,11.0,11.0,8.0,11.0,32.0,100.0,28.0,22.0,8.0,19.0,14.0,19.0,5.0,5.0,24.0,2018-07-19
Allegiance Bancshares,0.0,24.5,0.0,0.0,0.0,100.0,0.0,0.0,96.0,0.0,0.0,94.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-10-08
Allegiant Travel,1.5224258839296496,15.625,37.0,12.0,0.0,12.0,0.0,34.0,0.0,12.0,55.0,100.0,45.0,0.0,28.0,48.0,21.0,31.0,40.0,51.0,30.0,2006-12-07
Allegro Merger,15.424948670398354,18.875,0.0,50.0,0.0,0.0,51.0,0.0,0.0,0.0,50.0,50.0,100.0,52.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,2018-07-03
