General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change,Day
General Information,"We intend to identify and acquire a business focusing on education, education technology (“edtech”), workforce development, and human capital management (“HCM”) industries in the United States. We will seek to acquire one or more businesses with an aggregate enterprise value of $500 million or greater. *(Note: The company changed its proposed symbol to EACPU (previously EACU) and said it has applied to list its units on the NASDAQ, according to an S-1/A filing dated Jan. 12, 2021.)",BLANK CHECKS,0,2020,Contact Information,"888 7th Avenue, Floor 29, New York, NY 10106, US",(212) 603-2800,,Edify Acquisition,Financial Information,$250mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,EACPU,NASDAQ,20.0,$10.00 - $10.00,$200.0 mil,BMO Capital Markets/ B. Riley Securities,-,1/15/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus on businesses primarily operating in the health care and health care provider space in North America and Asia-Pacific. Possible targets may include hospitals or hospital networks, specialty clinics chains, chronic disease health care service providers, telemedicine/digital health providers and/or associated technology/platform enablers, or artificial intelligence/big data enabled diagnostic providers. We believe the health care sector has experienced a significant amount of change over the last several months. The COVID-19 pandemic continues to evolve and the ultimate impact on the health care sector remains uncertain and difficult to predict. Our sponsor, American Physicians LLC, is a Delaware limited liability company, the sole manager of which is Xiaoping Becky Zhang. She has over 20 years experience as an entrepreneur and electrical engineer in the health care and real estate industries. She is also the CEO and chief engineer of AI Health, a startup in wearable devices. Kevin Chen, our CEO and chairman of the board, is the CIO and chief economist of Horizon Financial, a New York-based investment management firm that offers cross-border solutions for global clients, with a specialty in investment in U.S. healthcare facilities. Christine Zhao is our CFO. She is a partner at YuanMing Capital, a cross-border health care venture capital and private equity fund, with focus on healthcare services, medical devices, and diagnostics. (Note: The IPO was priced with fewer units – 9 million, down 10 percent from 10 million in the most recent filing – at $10 per unit.)",BLANK CHECKS,0,2020,Contact Information,"7612 Main Street Fishers Suite 200 Victor, NY 14564",(585) 678-1198,,Edoc Acquisition Corp.,Financial Information,$130.4mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,ADOCU,NASDAQ,9.0,$10.00 - $10.00,$90.0 mil,I-Bankers,-,11/10/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We initially intend to focus our search on target businesses in the education, training, reskilling, human capital and education technology industries.",BLANK CHECKS,0,2020,Contact Information,"c/o IBIS Capital Limited 22 Soho Square London, W1D 4NS United Kingdom",+44 207 070 7080,,EdtechX Holdings Acquisition Corp. II,Financial Information,$125.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,EDTXU,NASDAQ,10.0,$10.00 - $10.00,$100.0 mil,Jefferies,Maquarie Capital,12/11/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Our sponsor brings together the resources and expertise of two prominent investment management firms (EnTrust Global and GMF Capital), as well as the insights and professional networks of an accomplished board of directors. Although there is no restriction or limitation on what industry our target operates in, there are certain sectors that we believe are particularly complemented by EnTrust Global and/or GMF Capital’s expertise and relationships. These include transportation and real assets, financial services, financial services technology, healthcare, real estate and sustainability-focused businesses. (New blank-check company or SPAC incorporated in Delaware) (Note: EG Acquisition Corp. downsized its SPAC IPO at pricing on May 25, 2021, to 22.5 million units, down from 25 million units, at $10 each to raise $225 million.)",BLANK CHECKS,0,2021,Contact Information,"375 Park Avenue 24th Floor New York, NY 10152",212-888-1040,,EG Acquisition Corp.,Financial Information,$312.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,EGGF.U,NYSE,22.5,$10.00 - $10.00,$225.0 mil,BTIG,-,5/26/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are an autonomous aerial vehicle technology platform company. We are pioneering the future of transportation through our proprietarily developed AAVs and related commercial solutions. We believe we are the first in the world to launch passenger-grade AAVs, setting a new milestone in AAV technology. In today’s increasingly populated and interconnected world, traditional modes of urban transportation continue to contribute to congestion and pollution, and they are largely confined to land-based infrastructure. Mobility for the future requires a revolutionary solution.","AIR TRANSPORTATION, SCHEDULED",233,2014,Contact Information,"Building C, Yixiang Technology Park, No.72 Nanxiang Second Road, Huangpu District, Guangzhou 510700, People’s Republic of China",+86 20 29028899,http://www.ehang.com,EHang Holdings Ltd.,Financial Information,$409.4mil,$11.0 mil (last 12 months),$-11.2 mil (last 12 months),IPO Profile,EH,NASDAQ,3.2,$12.50 - $12.50,$40.0 mil,Morgan Stanley,Needham & Company/ Tiger Brokers (NZ) Limited/ Prime Number Capital,12/12/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a newly incorporated blank check company, incorporated as a Cayman Islands exempted company. Through our sponsor, we are affiliated with EJF Capital, an alternative asset manager, with approximately $9.4 billion in net assets under management, including $3.5 billion of collateral management assets. While we may pursue an initial business combination target in any industry, our thesis-driven investment strategy will focus our efforts in the financial services industry. We will target financial services companies with products, services and technologies that support, enable or compete in the regulated and unregulated sectors where EJF has historically invested, including banking, insurance, asset management, specialty lending and real estate finance. (Note: EJF Acquisition priced its SPAC IPO on Feb. 24, 2021, in line with the terms in its prospectus: 25 million units at $10 each to raise $250 million.)",BLANK CHECKS,0,2021,Contact Information,"2107 Wilson Boulevard, Suite 410 Arlington, VA 22201, US",(703) 879-3292,,EJF Acquisition Corp.,Financial Information,$312.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,EJFAU,NASDAQ,25.0,$10.00 - $10.00,$250.0 mil,UBS Investment Bank/ Barclays,-,2/25/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a precision oncology company focused on the development of targeted therapeutics for the treatment of cancer in genomically-defined patient populations. Our vision is to elevate precision medicine to the forefront of every cancer treatment journey, as we believe that each patient living with cancer deserves the opportunity to benefit from a genomically-driven treatment decision. We utilize our deep expertise in developing drugs for rare, genomically-defined patient populations and strategic collaborations with our diagnostic collaborators to work towards a future where each tumor’s unique genomic test result can be matched with a purpose-built precision medicine. (Note: Elevation Oncology priced its IPO on June 24, 2021, in line with the terms in its prospectus: 6.25 million shares at $16 – the mid-point of its $15-to-$17 range – to raise $100 million.)",BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),8,2019,Contact Information,"888 Seventh Ave., 12th Floor, New York, New York 10106, USA",(716) 371-1125,,"Elevation Oncology, Inc.",Financial Information,$365.1mil,$0 mil (last 12 months),$-20.4 mil (last 12 months),IPO Profile,ELEV,NASDAQ,6.3,$16.00 - $16.00,$100.0 mil,J.P. Morgan/ Cowen/ SVB Leerink ​ ​,Wedbush PacGrow ​	​,6/25/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a clinical-stage biotechnology company developing a pipeline of novel immunotherapies for the treatment of cancer and other diseases. For therapies designed to engage the immune system to treat disease, it is critical to target activation at the unique location where adaptive immune responses are generated. Our proprietary Amphiphile, or AMP, platform delivers immunotherapeutics directly to the “brain center” of the immune system – the lymph nodes. We believe this site-specific delivery of disease-specific antigens, adjuvants and other immunomodulators will more efficiently educate, activate, and amplify critical immune cells, resulting in induction and persistence of potent adaptive immunity required to treat many diseases. In preclinical models, we have observed lymph-node specific engagement driving therapeutic immune responses of increased magnitude, function and durability. We believe our AMP lymph node targeted approach will produce superior clinical benefits compared to immunotherapies that do not engage the lymph nodes. Our lead product candidate, ELI-002, is being developed to treat cancers driven by KRAS, a mutation found in approximately 25% of tumors. We are conducting a Phase 1/2 clinical trial of ELI-002 (AMPLIFY-201) and anticipate initial safety, dose escalation, and correlative biomarker data in the first half of 2022. We are also evaluating the potential use of ELI-004, our universal AMP-modified CpG adjuvant, and a component of ELI-002, in conjunction with other disease-specific antigens, to treat or prevent additional diseases. (Note: Elicio Therapeutics postponed its IPO on July 28, 2021.)",PHARMACEUTICAL PREPARATIONS,22,2011,Contact Information,"One Kendall Square, Suite 14303, Cambridge, MA 02139",(857) 209-0050.,http://www.elicio.com/,"Elicio Therapeutics, Inc.",Financial Information,$180.44mil,$0 mil (last 12 months),$-18.9 mil (last 12 months),IPO Profile,ELTX,NASDAQ,3.1,$12.00 - $14.00,$40.0 mil,"BTIG/ Oppenheimer & Co,.",National Securities Corp.,7/26/2021,Postponed,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a clinical-stage biotechnology company focused on developing novel therapies for neuronal excitability disorders to address unmet needs in chronic pain, psychiatry, epilepsy and other disorders of the peripheral and central nervous systems. These disorders often occur when neurons are overly excited or inhibited, leading to an imbalance, and our focus is on restoring homeostasis. We are developing a pipeline of clinically differentiated product candidates focused on validated mechanisms of action with broad therapeutic potential to deliver improved therapeutics for patients with these disorders. Our two lead clinical-stage candidates are ETX-810 and ETX-155. ETX-810 is a novel palmitoylethanolamide (PEA) prodrug initially being developed for the treatment of diabetic peripheral neuropathic pain (DPNP) and pain associated with lumbosacral radiculopathy (LSRP, commonly referred to as sciatica). ETX-810 is being evaluated in two Phase 2a clinical trials that are expected to report topline data in the first half of 2022. (Note: Eliem Therapeutics upsized its IPO at pricing on Aug. 9, 2021, to 6.4 million shares, up from 6 million shares in its amended filing, and priced the stock at $12.50, as planned, to raise $80 million. Earlier in an S-1/A filing dated Aug. 9, Eliem Therapeutics had trimmed its IPO to 6 million shares at $12.50 to raise $75 million – compared with its initial terms of 4.5 million shares at $17 to $19 to raise $81 million. Eliem’s IPO had been originally scheduled for pricing on Thursday, Aug. 5, 2021.)",PHARMACEUTICAL PREPARATIONS,25,2018,Contact Information,"23515 NE Novelty Hill Road, Suite B221 #125, Redmond, WA 98053, US",(425) 276-2300.,http://www.eliemtx.com,Eliem Therapeutics,Financial Information,$422.7mil,$0 mil (last 12 months),$-40.3 mil (last 12 months),IPO Profile,ELYM,NASDAQ,6.4,$12.50 - $12.50,$80.0 mil,SVB Leerink/ Evercore ISI/ Stifel/ Guggenheim Securities,-,8/10/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"This is the initial public offering of Elite Education Group International Limited. The size: 750,000 units. The public offering price per Unit is $8.00. Each Unit consists of (a) one common share, (b) one Series A warrant (the “Series A Warrants”) to purchase one common share at an exercise price equal to $5.00 per share, exercisable until the fifth anniversary of the issuance date, and (c) one Series B warrant (the “Series B Warrants,” and together with the Series A Warrants, the “Warrants”) to purchase one common share at an exercise price equal to $10.00 per share, exercisable until the fifth anniversary of the issuance date and subject to certain adjustment and cashless exercise provisions as described herein. The Units will be offered on a firm commitment basis. The common shares and the Warrants are immediately separable and will be issued separately, but will be purchased together in this offering. Elite Education Group International Limited (EEI) is a holding company registered and incorporated in the British Virgin Islands (BVI) on December 13, 2017, by Jianbo Zhang. As a wholly owned subsidiary of EEI, Quest Holding International LLC (QHI) was incorporated in 2012 in Ohio to facilitate study abroad and post-study services for Chinese students in the United States. Miami International Education Center LLC (MIE) was set up on January 13, 2017, in Ohio, and is a wholly-owned subsidiary of QHI. We partner with Miami University of Ohio, one of the oldest public universities in the country, to offer our services to Chinese students interested in studying in the United States. Located in southwestern Ohio and established in 1809, Miami University has 7 colleges, 5 different campuses, and the campus population of approximately 25,000. Known as a “Public Ivy,” the University offers more than 120 undergraduate, 60 graduate in and 13 Ph.D. degrees. Currently, our partnership with the University has extended to the Oxford, Middletown, and Hamilton campuses.  We develop specific education goals and a plan for each student enrolled in a program and provide a safe and structured environment and support services so that students can focus most of their attention on academic studies.  Our mission is to provide our students with a reliable and comprehensive support system to fulfill their dreams of studying abroad. We strive to accomplish that by offering students and parents a one-stop destination for their US study needs, with potential expansion to other destinations as discussed below. We maintain an office in the United States and work with a business partner in the PRC. Our US Office is mainly responsible for providing study abroad and post-study services which include, among others, student dormitory management, academic guidance, international student services, student catering services, student transfer application services, internship and employment guidance. QHI’s business partner in China is Renda Financial Education Technology Co., Ltd. (Renda), located in Beijing. Its main business includes development and cooperation of the Chinese study market, language testing, student application, visa service, pre-departure training, pick-up arrangements, or any other accommodation arrangements as may be required.",EDUCATIONAL SERVICES,,,Contact Information,"1209 N. University Blvd, Middletown, OH 45042",1 513-649-8350,,Elite Education Group International Limited,Financial Information,,$ mil (last 12 months),$ mil (last 12 months),IPO Profile,EEIQ,NASDAQ,0.8,$8.00 - $8.00,$6.0 mil,ViewTrade Securities,-,3/25/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to capitalize on our management team’s ability and its access to the broader Elliott platform to identify and acquire opportunities in the technology sector that we believe have leading market positions, operate in a space with a large and growing total addressable market (“TAM”), have a track record of sustainable growth with identifiable upside opportunities, and have strong management teams. (New SPAC or blank-check company incorporated in the Cayman Islands) Our co-CEOs are David Kerko and Isaac Kim. Mr. Kerko rose through the ranks at KKR during a 22-year career there before joining Elliott Investment Management in 2021 as the head of North America private equity. Mr. Kim is a managing director at Evergreen Coast Capital, the private equity affiliate of Elliott Investment Management. Before he established Evergreen in 2015, Mr. Kim was a principal at Golden Gate Capital where he led investments in software. Elliott, a global investment management firm that managed about $46 billion in assets as of April 1, 2021, is an affiliate of our sponsor. Launched in 1977 by Paul Singer, Elliott’s domestic fund is one of the oldest funds of its kind under continuous management. Elliott’s public equity team has invested in more than 85 public technology, media or telecommunications (TMT) companies. Examples include Akamai Technologies, ASM International, AT&T, CDK Global, Citrix, Dell, eBay, EMC, F5 Networks, Informatica, Juniper Networks, Mentor Graphics, NetApp, SAP, SoftBank and Twitter. (Note: Elliott Opportunity II Corp. upsized its SPAC IPO at pricing on June 28, 2021, to 53 million units, up from 50 million units, at $10 each to raise $530 million.)",BLANK CHECKS,0,2021,Contact Information,"Phillips Point, East Tower 777 S. Flagler Drive, Suite 1000 West Palm Beach, FL 33401",(212) 974-6000,,Elliott Opportunity II Corp. (formerly Wood Hill Opportunity Corp.),Financial Information,$655.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,EOCW.U,NYSE,53.0,$10.00 - $10.00,$530.0 mil,Credit Suisse/ Citigroup/ UBS Investment Bank,BTIG/ Guggenheim Securities/ Macquarie Capital,6/29/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
