General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change
General Information,We are a clinical stage biopharmaceutical company developing novel therapeutics designed to address the unmet needs of patients suffering from autoimmune diseases. We have combined a network-based conceptualization of the immune system with expertise in advanced protein engineering to develop our TALON (Therapeutic Autoimmune reguLatOry proteiN) drug design and discovery platform. Our TALON platform enables us to employ a modular approach to create a pipeline of product candidates using immunomodulatory effector modules that act at known control nodes within the immune network.,PHARMACEUTICAL PREPARATIONS,43,2016,Contact Information,"134 Coolidge Avenue, Watertown, MA 02472, US",(617) 393-5925,http://www.pandiontx.com,Pandion Therapeutics Holdco,Financial Information,$475.9mil,$2.97 mil (last 12 months),$-27.0 mil (last 12 months),IPO Profile,PAND,NASDAQ,7.5,$18.00 - $18.00,$119.0 mil,Goldman Sachs/ Morgan Stanley/ SVB Leerink/ BMO Capital Markets,-,7/17/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We will leverage our experience in sourcing transactions, performing due diligence, structuring and closing deals, and capital markets execution to create a combination with an exceptional business in the software, internet, media, fintech, healthcare IT or consumer industry, with a particular focus on vertical solutions driven by AI, marketplaces, platforms and networks. Our sponsor is affiliated with Launchpad Capital (“Launchpad”). Our team has collectively raised 7 SPACs, totaling $2,200,000,000 in trust capital, and has made extensive private market investments, including Square, Eventbrite, DigitalOcean, Calm and Gitlab. We believe our investments have demonstrated a history of strong performance based on realized returns. We believe that our past performance and proven ability in raising PIPEs, with over $360,000,000 in PIPE capital raised cumulatively for business combinations totaling $4,400,000,000 in equity value, will provide partner companies with increased confidence of proceeds and valuation as well as reduced management distraction. We also believe the Company is well-positioned to establish a stable base of long-term investors for our partner company through relationships and rigorous diligence. We have invested in or advised CEOs at 14 companies valued over $1,000,000,000, putting us in a privileged position to be a strong strategic and tactical partner to our eventual partner company. (Note: Papaya Growth Opportunity Corp. I priced its SPAC IPO on Jan. 13, 2022, in line with the terms in its prospectus: 25 million units at $10 each to raise $250 million.)",BLANK CHECKS,0,2021,Contact Information,"2201 Broadway, #750 Oakland, CA 94612",510-214-3750,,Papaya Growth Opportunity Corp. I,Financial Information,$312.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,PPYAU,NASDAQ,25.0,$10.00 - $10.00,$250.0 mil,Cantor,-,1/14/2022,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus our search on companies with an enterprise value of $300 million to $1 billion that have unique technologies and business models and are actively engaged in the Internet of Things (“IoT”) transformation in a variety of segments such as consumer, industrial, automotive, medical and others. (Note: Parabellum Acquisition Corp. priced its SPAC IPO on Sept. 27, 2021, in line with the terms in its prospectus: 12.5 million units at $10 each to raise $125 million.)",BLANK CHECKS,0,2021,Contact Information,"3811 Turtle Creek Blvd Suite 2125 Dallas, TX 75219",(972) 591-8349,,Parabellum Acquisition Corp.,Financial Information,$156.25mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,PRBM.U,NYSE,12.5,$10.00 - $10.00,$125.0 mil,"B. Riley Securities, Inc.",-,9/28/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a leading medical device company exclusively focused on the foot and ankle orthopedic market and we are dedicated to improving patient lives. Our innovative orthopedic solutions, procedural approaches and instrumentation cover a wide range of foot and ankle ailments, including fracture fixation, hallux valgus (bunions), hammertoe, progressive collapsing foot deformity (PCFD) or flat foot, and charcot foot. To treat these painful, debilitating or even life-threatening conditions, we provide a comprehensive portfolio of solutions that includes surgical implants and disposables, as well as surgical instrumentation. Our broad suite of surgical solutions comprises 72 product systems, including approximately 8,700 SKUs to help fit the specific needs of each patient and procedure. We design each of our products with both the patient and surgeon in mind, with the goal of improving outcomes, reducing ailment recurrence and complication rates, and making the procedures simpler, consistent and reproducible. (Note: Paragon 28, Inc. priced its IPO on Oct. 14, 2021, at $16 – the mid-point of its $15-to-$17 price range – on 7.81 million shares, the same number of shares in the prospectus, to raise $124.96 million.)",SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,295,2010,Contact Information,"14445 Grasslands Drive, Englewood, CO 80112, US",(730) 399-3400,http://www.paragon28.com,"Paragon 28, Inc.",Financial Information,$1203.2mil,$134.2 mil (last 12 months),$2.39 mil (last 12 months),IPO Profile,FNA,NYSE,7.8,$16.00 - $16.00,$125.0 mil,BofA Securities/ Piper Sandler,Canaccord Genuity/ JMP Securities/ Needham & Company,10/15/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus on the space economy, transport and technology industries. Patricia Trompeter, our CEO, has over 20 years of experience in the financial and equity investment industry. She has completed over $17 billion of acquisitions, including transactions in the aircraft leasing industry. She has established a strong network of investment institutions and business connections, which we believe can help us to identify attractive targets and negotiate a transaction that benefits our shareholders. Ms. Trompeter is a director of Astro Aerospace Ltd., the owner of our sponsor. Paul Haber, our CFO, has over 25 years of experience in corporate finance and capital markets. Mr. Haber has worked on the acquisition of over 15 public companies during his career. Mr. Haber has sat on numerous boards over the year, typically as the chair of the audit committee. (Note: Parsec Capital Acquisitions Corp. priced its SPAC IPO on Oct. 5, 2021, in line with the terms in its prospectus: 7.5 million units at $10 each to raise $75 million.)",BLANK CHECKS,0,2021,Contact Information,"320 W. Main Street Lewisville, TX 75057",203-524-6524,,Parsec Capital Acquisitions Corp.,Financial Information,$93.75mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,PCXCU,NASDAQ,7.5,$10.00 - $10.00,$75.0 mil,"EF Hutton (formerly Kingswood, a division of Benchmark Investments)",-,10/6/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a leading provider of technology-driven solutions in the defense, intelligence and critical infrastructure markets. We provide technical design and engineering services and software to address our customers’ challenges. We have developed significant expertise and differentiated capabilities in key areas of cybersecurity, intelligence, defense, military training, connected communities, physical infrastructure and mobility solutions.",COMPUTER INTEGRATED SYSTEMS DESIGN,15633,1944,Contact Information,"5875 Trinity Parkway #300, Centreville, Virginia 20120, US",(703) 988-8500,http://www.parsons.com,Parsons,Financial Information,$2609.7mil,$3560.5 mil (last 12 months),$222.3 mil (last 12 months),IPO Profile,PSN,NYSE,18.5,$27.00 - $27.00,$500.0 mil,Goldman Sachs/ BofA Merrill Lynch/ Morgan Stanley,Jefferies/ Wells Fargo Securities/ Cowen/ SunTrust Robinson Humphrey/ MUFG/ Scotiabank,5/8/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"(Note: This is a unit offering with KTTA as the proposed symbol for the common stock and KTTAW for the warrants.) We are a biotechnology company focused on the research and discovery of new and effective treatments for psychiatric and neurological disorders. Epidemiological data indicate neuropsychiatric disorders as being some of the most prevalent, devastating, and yet poorly treated illnesses. We believe that the current treatments for these disorders, such as depression, are inadequate and that conventional medicines have low success rates in long-term treatment. Our biotech operations will focus on developing drugs that target the pathophysiology underlying such disorders rather than symptomatic treatments, with the goal of developing new pharmacological agents that display significant advantages over conventional therapies with respect to efficacy and tolerability. We will particularly focus on the cross-talk between the immune system and brain disorders and how immune dysregulation affects central nervous system (CNS) function. Our secondary operations are focused on providing business support services to anti-depression clinics in the UK and in the United States. Our operations in the UK will involve providing business support services to registered healthcare providers who will assess patients and, if appropriate, administer intravenous infusions of ketamine, and our operations in the United States will involve providing business support services to entities that furnish similar services to patients who personally pay for those services. Operations will initially take place across the United States and the UK through partnerships with healthcare companies, including Zen Healthcare and The IV Doc. *Note: The net loss figure is for the six months that ended June 30, 2021. (Note: Pasithea Therapeutics upsized its IPO unit offering at pricing on Sept. 14, 2021, to 4.8 million units, up from 2.9 million units, and priced the units at $5, the low end of its $5-to-$7 range, to raise $24 million.)",PHARMACEUTICAL PREPARATIONS,3,2020,Contact Information,"1111 Lincoln Road Suite 500 Miami Beach, FL 33139",702-514-4174,http://www.pasithea.com/,Pasithea Therapeutics Corp.,Financial Information,$55.78mil,$0 mil (last 12 months),$-1.28 mil (last 12 months),IPO Profile,KTTA,NASDAQ,4.8,$5.00 - $5.00,$24.0 mil,"EF Hutton (formerly Kingswood, a division of Benchmark Investments)",-,9/15/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a genetic medicines company focused on developing transformative therapies for rare, monogenic CNS disorders with limited or no approved treatment options. Our vision is to become the premier genetic medicines company by developing and ultimately commercializing therapies that dramatically and positively transform the lives of patients suffering from these life-threatening disorders.",BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),20,2017,Contact Information,"Two Commerce Square, 2001 Market Street, 28th Floor, Philadelphia, PA, 19103, US",(267) 866-0311,http://www.passagebio.com,Passage BIO,Financial Information,$792.0mil,$0 mil (last 12 months),$-45.6 mil (last 12 months),IPO Profile,PASG,NASDAQ,12.0,$18.00 - $18.00,$216.0 mil,J.P. Morgan/ Goldman Sachs/ Cowen,Chardan,2/28/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"Note: Steve Young, the retired San Francisco ’49ers star who is a co-founder and the president of HGGC, a Palo Alto-based middle-market private equity firm, will serve as a director of this new blank-check company. Pathfinder Acquisition, incorporated in 2020 in the Cayman Islands, is backed by HGGC affiliates and Industry Ventures, a venture capital firm. From the prospectus: We intend to focus our search on a growth-oriented technology or technology-enabled target that is at a key inflection point in its evolution and a beneficiary of secular tailwinds in one of several rapidly changing segments of the global economy. HGGC is a longstanding investor in Software, Technology, Technology-enabled Products and Services, and Business Services companies and has significant experience investing across other sectors such as Insurance Services, Consumer and Industrial Services. HGGC focuses its investments on companies that have attractive economic profiles and strong competitive positions in markets where the team can add value through strategic and operational support, M&A and capital markets capabilities and a broad network of relationships. (Note: Pathfinder Acquisition upsized its IPO at pricing on Feb.16, 2021, to 30 million units, up from 27.5 million, at $10 each to raise $300 million.)",BLANK CHECKS,0,2020,Contact Information,"1950 University Avenue Suite 350 Palo Alto, CA 94303",(650) 321-4910,,Pathfinder Acquisition Corporation,Financial Information,$368.75mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,PFDRU,NASDAQ,30.0,$10.00 - $10.00,$300.0 mil,Deutsche Bank Securities/RBC Capital Markets/Stifel,-,2/17/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are one of the leading private market investment firms in Latin America in terms of capital raised with over US$7.8 billion raised in the past five years. Patria was founded in 1988 in Brazil as an M&A and financial advisory firm in partnership with Salomon Brothers. Since 2010, the company has been in a partnership with Blackstone. Preqin’s 2020 Global Private Equity & Venture Capital Report ranks us as the No. 1 fund manager by total capital raised for private equity funds in the past 10 years in Latin America. As of Sept. 30, 2020, our assets under management, or AUM, were US$12.7 billion. Our size and performance over our 32-year history also make us one of the most significant emerging markets-based private market investment managers. (Note: Patria Investments upsized its IPO at pricing: 30,098,824 shares, up from the original offering size of 26,650,000 shares, were priced at $17 – above the $14-to-$16 range, to raise $511.7 million.)",INVESTMENT ADVICE,157,1988,Contact Information,"18 Forum Lane, 3rd floor, Camana Bay, PO Box 757, KY1-9006, Grand Cayman, Cayman Islands",+1 345 640 4900,http://www.patria.com,Patria Investments Ltd.,Financial Information,$2004.75mil,$118.5 mil (last 12 months),$65.0 mil (last 12 months),IPO Profile,PAX,NASDAQ,30.1,$17.00 - $17.00,$511.7 mil,J.P. Morgan/ BofA Securities/ Credit Suisse/ Goldman Sachs,"Bradesco BBI/ BTG Pactual/ Itaú BBA/ Keefe, Bruyette & Woods (A Stifel Company)/mSantander/,XP Investments",1/22/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus our search in Latin America and in sectors where Patria has developed investment expertise (including but not limited to healthcare, food and beverage, logistics, agribusiness, education, and financial services). We will pursue an initial business combination with an established business with scale, attractive growth prospects, high-quality shareholders and management, and sustainable competitive advantages. We intend to capitalize on the broader Patria Investments Limited, or Patria, platform where we believe a combination of our relationships, knowledge and experience across industries and geographies can effect a positive transformation of an existing business. (Incorporated in the Cayman Islands) Our sponsor is an affiliate of Patria, one of the leading private market investment firms in Latin America, in terms of capital raised, with over $8.7 billion raised since 2015, including co-investments. As of Dec. 31, 2021, Patria’s assets under management, or AUM, totaled $14.9 billion with 19 active funds, and Patria’s investment portfolio was composed of over 55 companies and assets. (Note: Patria Latin American Opportunity Acquisition Corp. priced its SPAC IPO on March 9, 2022, in sync with the terms in its prospectus: 20 million units at $10 each to raise $200 million. In an S-1/A filing dated Feb. 8, 2022, Patria Latin American Opportunity Acquisition Corp. cut the size of its SPAC IPO to 20 million units, down from 25 million, at $10 each to raise $200 million.)",BLANK CHECKS,0,2021,Contact Information,"18 Forum Lane, 3rd floor, Camana Bay, PO Box 757, KY1-9006 Grand Cayman, Cayman Islands",+1 345 640 4900,,Patria Latin American Opportunity Acquisition Corp.,Financial Information,$250.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,PLAOU,NASDAQ,20.0,$10.00 - $10.00,$200.0 mil,J.P. Morgan/ Citigroup,-,3/10/2022,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are an early clinical stage biopharmaceutical company focusing on the development of anti-purinergic therapies (or APT), for the treatment of neurodevelopmental disorders, including autism spectrum disorder (or ASD), and Fragile X syndrome tremor-ataxia (or FXTAS). Antipurinergic therapies target the excess production of purines in cells, which can offset homeostasis and result in an overproduction of cellular adenosine triphosphate (or ATP), the main energy molecule in all living cells.",PHARMACEUTICAL PREPARATIONS,4,2018,Contact Information,"50 Tice Boulevard, Suite A26, Woodcliff Lake, NJ 07677, US",(201) 645-4765,http://www.paxmedica.com,PaxMedica,Financial Information,$59.1mil,$0 mil (last 12 months),$-2.1 mil (last 12 months),IPO Profile,PXMD,NASDAQ,2.5,$5.50 - $6.50,$15.0 mil,The Benchmark Company/ Brookline Capital Markets (a division of Arcadia Securities),-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"Paycor is a leading Software-as-a-Service (SaaS) provider of human capital management solutions for small and medium-sized businesses. Our unified cloud-native platform is built to empower business leaders by producing actionable real-time insights to drive workforce optimization. Our comprehensive suite of solutions enables organizations to streamline human capital management (“HCM”) and payroll workflows and achieve regulatory compliance while serving as the single secure system of record for all employee data. Our customers range in size from businesses with just one to nine employees up to companies with 250 to 1,000 or more employees. **Over 28,000 customers across all 50 states trust Paycor to help their leaders develop winning teams. Our customers include the Detroit Zoo, Pure Dental Brands, Seaway Plastics Engineering, Two Men and a Truck, Wendy’s and the YMCA. People management has evolved significantly over the last 30 years from an administrative payroll-centric cost center to a highly strategic function focused on talent management and employee engagement. To be competitive in today’s environment, organizations are increasingly reliant on this function as they seek to leverage people analytics to identify trends and track performance across their workforce. *Note: Revenue and net loss figures are for the 12 months ended March 31, 2021. (Note: Paycor priced its IPO on July 20, 2021, at $23 – above its $18-to-$21 range – on 18.5 million shares, the same number of shares in the prospectus, to raise $425.5 million.)",SERVICES - PREPACKAGED SOFTWARE,1945,1990,Contact Information,"4811 Montgomery Road Cincinnati, Ohio 45212",(800) 381-0053,http://www.paycor.com/,"Paycor HCM, Inc.",Financial Information,$3340.75mil,$338.12 mil (last 12 months),$-66.36 mil (last 12 months),IPO Profile,PYCR,NASDAQ,18.5,$23.00 - $23.00,$425.5 mil,Goldman Sachs/ J.P. Morgan/ Jefferies/ Credit Suisse/ Deutsche Bank Securities,Barid/ Cowen/ JMP Securities/ Needham & Co./ Raymond James/ Stifel/ Truist Securities/ Fifth Third Securities/ Roberts & Ryan,7/21/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
