General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change,Day
General Information,"We are an internally managed real estate company that acquires, owns and manages a diversified portfolio of single-tenant, retail commercial real estate subject to long-term net leases with high credit quality tenants across the United States. Our growth and diversification strategy focuses on tenants in industries where a physical location is critical to the generation of sales and profits, with a focus on necessity goods and essential services in the retail sector, including discount stores, grocers, drug stores and pharmacies, home improvement, automotive service and quick-service restaurants, which we refer to as defensive retail industries. We believe these characteristics make our tenants’ businesses e-commerce resistant and resilient through all economic cycles. We generally target properties with a purchase price between $1 million and $10 million, a segment of the market that we believe is undercapitalized and where we can maintain a consistent pipeline of relatively small assets to acquire on attractive terms without the threat of broad competition. Our diversified portfolio consists of 163 single-tenant retail net leased properties spanning 34 states, with tenants representing 53 different brands or concepts across 23 retail sectors. Our top 10 tenants are 7-Eleven, Walmart, CVS, Ollie’s Bargain Outlet, Lowe’s, Advance Auto Parts, Dollar General, Walgreens, Home Depot and Kohl’s.",REIT,15,2019,Contact Information,"5910 N. Central Expressway Suite 1600 Dallas, TX 75206",972-200-7100,http://www.NETSTREIT.com/,NETSTREIT,Financial Information,$437.3mil,$20.0 mil (last 12 months),$-6.1 mil (last 12 months),IPO Profile,NTST,NYSE,12.5,$18.00 - $18.00,$187.5 mil,Wells Fargo Securities/ BofA Securities/ Citigroup/ Stifel/ Jefferies,BMO Capital Markets/ BTIG/ Capital One Securities/ KeyBanc Capital Markets/ Regions Securities/ Truist Securities/ Comerica Securities/ Ramirez/ Scotiabank,8/13/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: NeuroPace upsized its IPO at pricing on April 21, 2021: 6 million shares, up from 5.31 million shares in the prospectus, were priced at $17 – the top of its $15-to-$17 range. The official pricing of the IPO was postponed to Wednesday night, April 21, from its original timing on Tuesday, April 20, after the company said in SEC filings that it had received an inquiry from the Commission on Foreign Investment in the U.S.) We are a commercial-stage medical device company focused on transforming the lives of people suffering from epilepsy by reducing or eliminating the occurrence of debilitating seizures. Our novel and differentiated RNS System is the first and only commercially available brain-responsive neuromodulation system that delivers personalized real-time treatment at the seizure source. By continuously monitoring the brain’s electrical activity, recognizing patient-specific abnormal electrical patterns, and responding in real time with imperceptible electrical pulses to prevent seizures, our RNS System is programmed by clinicians to deliver the precise amount of therapy when and where it is needed and provides exceptional clinical outcomes with approximately three minutes of stimulation on average per day. Our RNS System is also the only commercially available device that records continuous brain activity data and allows clinicians to monitor patients not only in person, but also remotely, providing them the data they need to make more informed treatment decisions, thus optimizing patient care. We believe the therapeutic advantages of our RNS System, combined with the insights obtained from our extensive brain data set, offer a significant leap forward in epilepsy treatment.  As of Dec. 31, 2020, over 3,000 patients have received our RNS System. We believe our compelling body of long-term clinical data, demonstrating continuous improvement in outcomes over time, will support the continued adoption of our RNS System among the approximately 575,000 adults in the United States with drug-resistant focal epilepsy. Over time, we plan to seek indication expansion more broadly for use across the entire population of about 1.2 million drug-resistant epilepsy patients in the United States; we may seek to expand our operations to reach the approximately 16.5 million drug-resistant epilepsy patients globally.",SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,152,1997,Contact Information,"455 N. Bernardo Avenue Mountain View, CA 94043",(650) 237-2700,http://www.neuropace.com,NeuroPace Inc.,Financial Information,$355.84mil,$41.1 mil (last 12 months),$-24.3 mil (last 12 months),IPO Profile,NPCE,NASDAQ,6.0,$17.00 - $17.00,$102.0 mil,J.P. Morgan/ Morgan Stanley,Wells Fargo/ SVB Leerink,4/22/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: This is a unit offering of 1.85 million units. Each unit consists of one ordinary share and one warrant to purchase one ordinary share. After the IPO, the stock is expected to trade on the NASDAQ under the symbol “NRSN” and the warrants are expected to trade on the NASDAQ under the symbol “NRSNW”.) (Incorporated in Israel) Our goal is to develop therapeutics to defeat neurodegenerative diseases. We are a clinical-stage biotechnology company focused on discovering and developing treatments for patients suffering from debilitating neurodegenerative diseases. We believe that these diseases, which include Amyotrophic Lateral Sclerosis, or ALS, Alzheimer’s disease and Parkinson’s disease, among others, represent one of the most significant unmet medical needs of our time, with limited effective therapeutic options available for patients. The burden of these diseases on both patients and society is substantial. For example, the average annual cost of ALS alone is $180,000 per patient, and its estimated annual burden on the U.S. healthcare system is greater than $1 billion. Due to the complexity of neurodegenerative diseases, our strategy is to develop combined therapies targeting multiple pathways associated with these diseases. Our lead product candidate, PrimeC, is a novel extended-release, or ER, oral formulation of a fixed dose combination of two generic FDA-approved drugs, ciprofloxacin and celecoxib, combined in a specific ratio. Ciprofloxacin was approved to treat or prevent a variety of bacterial infections and celecoxib was approved as a prescription nonsteroidal anti-inflammatory drug used to treat pain. PrimeC is designed to treat ALS by regulating microRNA, or miRNA, synthesis, influencing iron accumulation and reducing neuroinflammation, all of which are hallmarks of ALS pathologies. The U.S. Food and Drug Administration, or FDA, and the European Medicines Agency, or EMA, have both granted PrimeC an orphan drug designation for the treatment of ALS. We believe PrimeC’s multifactorial mechanism of action has the potential to significantly prolong lifespan and improve ALS patients’ quality of life, thereby reducing the burden of this debilitating disease on both patients and healthcare systems. In addition to PrimeC, we recently initiated research and development efforts in Alzheimer’s disease and Parkinson’s disease, with a similar strategy of combined products. (Note: NeuroSense Therapeutics priced its IPO – a unit offering – on Dec. 8, 2021, by slightly increasing the number of units to 2.0 million, up from 1.85 million in the prospectus, and pricing each unit at $6 – the low end of its $6-to-$7 price range – to raise $12 million.)",PHARMACEUTICAL PREPARATIONS,3,2017,Contact Information,Medinat ha-Yehudim Street 85 Herzliya 4676670 Israel,+972-9-9531142,https://www.neurosense-tx.com/,NeuroSense Therapeutics Ltd.,Financial Information,$70.01mil,$0 mil (last 12 months),$-5.26 mil (last 12 months),IPO Profile,NRSN,NASDAQ,2.0,$6.00 - $6.00,$12.0 mil,Maxim Group LLC,-,12/9/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to initially focus on companies in the travel, hospitality, leisure, financial technology (fintech), insurance technology and property technology (PropTech) sectors. We believe that the dislocation caused by the coronavirus (COVID-19) pandemic will create significant value opportunities in these sectors.",BLANK CHECKS,0,2020,Contact Information,"800 1st Street Unit 1 Miami, FL 33139",(917) 592-7979,,New Beginnings Acquisition Corp.,Financial Information,$97.3mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,NBA.U,NYSE - American,10.0,$10.00 - $10.00,$100.0 mil,Early Bird Capital/ Ladenburg Thalmann,-,10/30/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(New Beginnings Acquisition Corp. III withdrew its IPO plans in an SEC filing dated March 18, 2022; the SPAC or blank-check company filed to go public on March 9, 2021.) We intend to initially focus on companies in the travel, hospitality, leisure, financial technology (FinTech), insurance technology and property technology (PropTech) sectors outside of the United States.",BLANK CHECK,0,2021,Contact Information,"800 1st Street Unit 1 Miami Beach, FL 33139",(917) 592-7979,,New Beginnings Acquisition Corp. III,Financial Information,$130.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,NBAD.U,NYSE - American,10.0,$10.00 - $10.00,$100.0 mil,Ladenburg Thalmann,-,,Withdrawn,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We have not selected any specific business combination target and we have not, nor has anyone on our behalf, initiated any substantive discussions, directly or indirectly, with any business combination target. We seek to acquire and operate a business in the consumer industry and we believe that our management team is well-suited to identify opportunities which have the potential to generate attractive risk-adjusted returns for our stockholders. However, we are not limited to this industry, and we may pursue a business combination opportunity in any business or industry we choose, including one outside of the United States. The Company engages in capital stock exchange, asset acquisition, stock purchase, reorganization, share reconstruction, asset management, and other financial services.",BLANK CHECKS,3,2019,Contact Information,"6500 Riverplace Blvd., Bld 1, Suite 450 Austin, TX 78730, US",(737) 202-4390,,New Providence Acquisition,Financial Information,$250mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,NPAUU,NASDAQ,20.0,$10.00 - $10.00,$200.0 mil,BTIG,-,9/11/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We seek to acquire and operate a business in the consumer industry and we believe that our management team is well-suited to identify opportunities which have the potential to generate attractive risk-adjusted returns for our stockholders. However, we are not limited to this industry, and we may pursue a business combination opportunity in any business or industry we choose, including one outside of the United States. (Note: New Providence Acquisition Corp. II upsized its SPAC IPO at pricing on Nov. 4, 2021, to 22.5 million units, up from 20 million in the prospectus, at $10 each to raise $225 million.)",BLANK CHECKS,0,2020,Contact Information,"10900 Research Blvd Suite 160C, PMB 1081 Austin, TX 78759",(561) 231-7070,,New Providence Acquisition Corp. II,Financial Information,$275.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,NPABU,NASDAQ,22.5,$10.00 - $10.00,$225.0 mil,Deutsche Bank Securities,-,11/5/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to concentrate our efforts identifying those businesses engaged with emerging and transformational technologies, focusing particularly on businesses operating within (1) space, defense and communications and (2) advanced air mobility and logistics industries, or the target industries. (Incorporated in the Cayman Islands.) Our chairman and CEO is Dennis Muilenberg, the former chairman, president and CEO of The Boeing Co. (NYSE:BA). Travis Nelson, the managing member of Eclipse Investors, is our CFO, co-president and director. Kirsten Bartok Touw, the founder and managing partner of AirFinance, is our COO, co-president and director. Our directors include Gen. Stephen W. Wilson, Ret., a retired 4-star U.S. Air Force General with over 39 years of military service. Gen. Wilson has extensive operational experience, including commanding the largest Wing in the Middle East and commanding and reinvigorating America’s nuclear Bombers and Missile forces in Global Strike Command before assuming his duties as the 39th Vice Chief of Staff of the Air Force. Our advisors include Chris Cassidy, a U.S. Navy SEAL and former NASA chief astronaut. Mr. Cassidy was selected as an astronaut in 2004; he is a veteran of three space flights and 10 space walks. Before he joined NASA, Mr. Cassidy led SEALs in four six-month deployments. He served as Executive Officer and Operations Officer of Special Boat Team Twenty, and SEAL platoon commander at SEAL Team THREE and SEAL Delivery Vehicle Team TWO. Mr. Cassidy has been awarded a Bronze Star with combat ‘V,’ a second Bronze Star for combat leadership service in Afghanistan, and a Presidential Unit Citation. (Note: New Vista Acquisition upsized its IPO at pricing on Feb. 16, 2021, to 24 million units, up from 20 million, at $10 each to raise $240 million.)",BLANK CHECKS,0,2020,Contact Information,"125 South Wacker Drive, Suite 300 Chicago, IL 60606",(312) 855-2083,,New Vista Acquisition Corp,Financial Information,$290.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,NVSAU,NASDAQ,24.0,$10.00 - $10.00,$240.0 mil,Citigroup/Jefferies,-,2/17/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We will seek to capitalize on the experience and networks of our management team, Mr. Wenhui Xiong, Mr. Jianjun Nie, Mr. H. David Sherman, Mr. Jianjun Lu and Ms. Li Wan, the prospectus says. Our team consists of seasoned and experienced professionals who have experience in equity investments, finance, business operations and management, as well as deal negotiation. We intend to focus on operating businesses in Asia (excluding China) and the United States. We shall not undertake our initial business combination with any entity with its principal business operations in China.",BLANK CHECKS,0,2019,Contact Information,"Room 801, Building C, SOHO Square, No. 88, Zhongshan East 2nd Road, Huangpu District Shanghai, 200002, China",+86 155 0219 5891,,Newborn Acquisition,Financial Information,$65mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,NBACU,NASDAQ,5.0,$10.00 - $10.00,$50.0 mil,Chardan,-,2/14/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to initially focus on target businesses in the consumer Internet or media industries, (Note: Newbury Street Acquisition Corp. downsized its SPAC IPO at pricing on March 22, 2021: 12 million units, down from 15 million units, were priced at $10 each to raise $120 million.)",BLANK CHECKS,0,2020,Contact Information,"8 Newbury Street Boston, MA 02116",(617) 894-3057,,Newbury Street Acquisition,Financial Information,$164.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,NBSTU,NASDAQ,12.0,$10.00 - $10.00,$150.0 mil,"EarlyBirdCapital, Inc.",-,3/23/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to concentrate our efforts on identifying digital financial services and financial technology (“FinTech”) businesses with exposure to emerging markets, though we may pursue a business combination outside of those industries. (Incorporated in the Cayman Islands) (Newcourt Acquisition Corp. upsized its SPAC IPO at pricing on Oct. 19, 2021, to 22 million units, up from 20 million, at $10 each to raise $220 million.)",BLANK CHECKS,0,2021,Contact Information,"2201 Broadway Suite 705 Oakland, CA 94612",(510) 214-3750,,Newcourt Acquisition Corp.,Financial Information,$282.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,NCACU,NASDAQ,22.0,$10.00 - $10.00,$220.0 mil,Cantor,-,10/20/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,NewHold Investment Corp. is a newly organized blank check company that intends to identify and acquire a business focusing on industrial technology. It will seek to acquire one or more businesses with an aggregate enterprise value of $700 million or greater. NewHold’s search for acquisition targets will not be restricted to any geographic location.,Blank Checks,0,2020,Contact Information,"950 McCarty Street, Building A Houston, TX 77029, US",(212) 653-0153,,NewHold Investment Corp.,Financial Information,$187.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,NHICU,NASDAQ,15.0,$10.00 - $10.00,$150.0 mil,Stifel,I-Bankers Securities,7/31/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to identify and acquire a business focusing on industrial technology. We will seek to acquire one or more businesses with an aggregate enterprise value of $700 million or greater. We will concentrate on sourcing business combination opportunities with industrial technology businesses, with particular emphasis on those that align with several key themes commonly referred to as “Industry 4.0,” including but not limited to: advanced robotics; Internet of Things (“IoT”) and associated production and consumption analytics; hardware and software as a service (“SaaS”) models with machine learning; production rate additive manufacturing; new energy technologies, infrastructure, and servicing; recycling to facilitate circular economies, and advanced sensor technologies and associated applications. (NewHold Investment Corp. II priced its SPAC IPO on Oct. 20, 2021, in line with the terms in its prospectus: 17.5 million units at $10 each to raise $175 million.)",BLANK CHECKS,0,2021,Contact Information,"12141 Wickchester Lane Suite 325 Houston, TX 77079",(212) 653-0153,,NewHold Investment Corp. II,Financial Information,$200.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,NHICU,NASDAQ,17.5,$10.00 - $10.00,$175.0 mil,Stifel,Cabrera Capital Markets/ Siebert Williams Shank/ AmeriVet Securities,10/21/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
