General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change,Day
General Information,"We are a clinical stage biopharmaceutical company focused on developing and commercializing a pipeline of novel, proprietary therapeutics that have the potential to transform radiotherapy in cancer. We leverage our expertise in superoxide dismutase mimetics to design drugs to reduce normal tissue toxicity from radiotherapy and to increase the anti-cancer efficacy of radiotherapy. Our lead product candidate, GC4419, is a potent and highly selective small molecule dismutase mimetic we are initially developing for the reduction of severe oral mucositis, or SOM. SOM is a common, debilitating complication of radiotherapy in patients with head and neck cancer, or HNC.",PHARMACEUTICAL PREPARATIONS,26,2012,Contact Information,"2 W Liberty Blvd #100, Malvern, PA 19355, US",(610) 725-1500,http://www.galeratx.com,Galera Therapeutics,Financial Information,$3654mil,$0 mil (last 12 months),$-43.3 mil (last 12 months),IPO Profile,GRTX,NASDAQ,5.0,$12.00 - $12.00,$60.0 mil,BofA Merrill Lynch/ Citigroup/ Credit Suisse,BTIG,11/7/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus our search on targets operating in the Consumer, Retail, Food and Beverage, Fashion and Luxury, Specialty Industrial, Technology or Healthcare sectors which are headquartered in Western Europe, with an emphasis on Italian family-owned businesses, portfolio companies of private equity funds, or corporate spin-offs, and that have significant North American exports and a clearly defined North American high growth strategy.",BLANK CHECKS,0,2019,Contact Information,"1049 Park Ave. 14A, New York, NY 10028. US",(347) 517-1041,,Galileo Acquisition,Financial Information,$157.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,GLEO.U,NYSE,12.0,$10.00 - $10.00,$120.0 mil,EarlyBirdCapital,I-Bankers Securities,10/18/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to search for private high-growth technology companies with overall transaction values between $750 million and $2.5 billion. (Our affiliated SPACs are Bilander Acquisition Corp., Mistico Acquisition Corp. and Brigantine Acquisition Corp.) True Wind Capital, a technology-focused private investment firm, is our advisory platform. Our chairman, James H. Greene, Jr., is a founding partner of True Wind Capital. We intend to capitalize on the ability of our management team and the broader True Wind Capital platform to identify, acquire, and operate a business in the technology and technology-enabled services sectors that may provide opportunities for attractive long-term risk-adjusted returns, though we reserve the right to pursue an acquisition opportunity in any business or industry. True Wind Capital is a San Francisco-based private equity firm managing $1.4 billion as of Sept. 30, 2020, that is focused on investing in leading technology companies with a broad mandate, including software, financial technology, industrial technology, healthcare IT, Internet, semiconductors and IT services.",BLANK CHECKS,0,2021,Contact Information,"Four Embarcadero Center, Suite 2100 San Francisco, CA 94111",(415) 780-9975,,Galliot Acquisition Corp.,Financial Information,$333.33mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,TWCGU,NASDAQ,25.0,$10.00 - $10.00,$250.0 mil,Morgan Stanley/ Deutsche Bank Securities/ Evercore ISI,-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a multi-award-winning performance marketing company and a leading provider of digital marketing services active exclusively in the online gambling industry, based on Dec. 31, 2020, and March 31, 2021, revenue. Our principal focus is on iGaming and sports betting. Through our proprietary technology platform, we publish a portfolio of premier branded websites including Gambling.com and Bookies.com. We tailor each one of our websites to different user interests and markets within the online gambling industry by producing original content relating to the sector, such as news, odds, statistics, product reviews and product comparisons of locally available online gambling services. We attract online gamblers through online marketing efforts and refer these online gamblers to companies that are licensed by gambling regulators to provide real-money online gambling services, known as online gambling operators, who convert these potential online gamblers into actual paying players. In this way, we provide business-to-business, or B2B, digital marketing services to online gambling operators. We are not a gambling company and do not offer any gambling services ourselves. We can alternatively be described as a lead generation company, an affiliate marketing company or simply an affiliate. Online gambling operators pay us to refer online gamblers to their services. In many ways, we are more akin to an online media company as our revenue is derived primarily from online marketing. We take high-value gambling industry domain names and develop them into market leaders. (Note: Gambling.com priced its downsized IPO on July 22, 2021, at $8 – the bottom of its drastically reduced price range of $8 to $9 – and sold 5.25 million shares to raise $42 million. Early in the morning of July 22, 2021, Gambling.com re-filed its IPO and cut the size of the deal by 50 percent in an S-1/A filing to 5.25 million shares at $8 to $9 – down from its initial terms of 7.5 million shares at $11 to $13. The IPO had been delayed from its original pricing date on July 20, 2021.)",Services - Miscellaneous Amusement & Recreation,145,2006,Contact Information,"22 Grenville Street, St. Helier, Channel Island of Jersey JE4 8PX",+44 1534 676 000,http://www.gambling.com/corporate/,Gambling.com Group Limited,Financial Information,$287.39mil,$35.39 mil (last 12 months),$14.88 mil (last 12 months),IPO Profile,GAMB,NASDAQ,5.3,$8.00 - $8.00,$42.0 mil,Jefferies/ Stifel/ Truist Securities,-,7/23/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus on a target business in the gaming and esports sectors. Concurrently with our initial business combination, we currently plan to merge with Gamers Club, a gaming technology subscription platform and community hub, based in Brazil and an affiliate of our sponsor, GEEX Sponsor, LLC. We will not, however, complete an initial business combination with only Gamers Club. (Incorporated in the Cayman Islands) (Note: Games & Esports Experience Acquisition Corp. upsized its SPAC IPO at pricing on Dec.1, 2021, to 17.5 million units, up from 15 million units, at $10 each to raise $175 million.)",BLANK CHECKS,0,2021,Contact Information,"7381 La Tijera Blvd. P.O. Box 452118 Los Angeles, CA 90045",(213) 266-7674,,Games & Esports Experience Acquisition Corp.,Financial Information,$212.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,GEEXU,NASDAQ,17.5,$10.00 - $10.00,$175.0 mil,J.P. Morgan/ William Blair,-,12/2/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"GameWorks is an esports and entertainment destination built around the central theme of gaming, both competitively and for amusement. Every location, which has a footprint ranging (on average) from approximately 20,000 to 35,000 square feet, features a wide variety of the latest and most popular arcade and video games as well as esports and other activities. Our entertainment centers attract millennials, teens and families. We also host many corporate events. At GameWorks, there is something for everyone. We offer a broad guest audience fun, competition, and great food. Our venues feature numerous specialty entertainment offerings, including esports lounges, video/arcade/redemption games, laser tag, bowling and/or billiards, and even traditional board games. Among consumer operators of esports tournaments with fixed venues, we are the largest national entertainment concept for esports based on revenue. Our distinctive esports lounges consist of organized, multi-player video game venues for participating in competitions between players across varying skill levels as well as casual play amongst friends. They feature the latest and most popular video game offerings on multiple formats (PC, Xbox, PS4). Our venues feature spacious lounge set-ups, which include comfortable couches, offering gamers a welcoming, relaxing and entertaining environment. Every esports lounge provides full-service restaurant and bar service to enjoy while playing or watching.",AMUSEMENT & RECREATION SERVICES,515,2017,Contact Information,"111 Maiden Lane, Suite 740 San Francisco, CA 94108, US",(747) 253-0057,http://www.gameworks.com,GameWorks,Financial Information,,$29.3 mil (last 12 months),$-10.6 mil (last 12 months),IPO Profile,GMWX,NASDAQ,0.0,$0.00 - $0.00,$15.0 mil,Maxim Group/ Joseph Gunnar,-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We currently plan to merge with Affinity Gaming, a diversified casino gaming company headquartered in Las Vegas, Nevada and an indirect wholly owned subsidiary of our sponsor, concurrent with the completion of our initial business combination. We will not, however, complete an initial business combination with only Affinity Gaming. We intend to focus on the gaming and hospitality sectors, which complements our management team’s sector and operating expertise. Target businesses that we are focused on in this sector include, but are not limited to, regional gaming, distributed gaming, online gaming / sports betting and gaming technology and equipment. In particular, we believe there is a robust addressable market in regional and distributed gaming. Regional gaming is a logical market, given the potential synergies with the Affinity Gaming platform. Distributed gaming is characterized by the operation of slot machines in non-casino locations such as restaurants, bars, grocery stores and convenience stores. (Note: Gaming & Hospitality Acquisition Corp. upsized its IPO at pricing on Feb. 2, 2021, to 17.5 million units, up from 15 million units, at $10 each to raise $175 million.)",BLANK CHECKS,0,2020,Contact Information,"3755 Breakthrough Way #300 Las Vegas, Nevada 89135",(800) 211-8626,,Gaming & Hospitality Acquisition Corp.,Financial Information,$219.28mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,GHACU,NASDAQ,17.5,$10.00 - $10.00,$175.0 mil,Deutsche Bank Securities,-,2/3/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: Not an IPO: Since 2013, the ordinary shares of GAN plc have traded on AIM, a market operated by the London Stock Exchange plc (“London Stock Exchange”) under the symbol “GAN.”) GAN is an award-winning provider of enterprise Software-as-a-Service (“SaaS”) solutions for online casino gaming, commonly referred to as iGaming, and online sports betting applications. Our technology platform, which we market as the GameSTACK™ internet gaming ecosystem platform (“GameSTACK”), has been deployed in both Europe and the U.S. However, we are primarily focused on enabling the U.S. casino industry’s ongoing digital transformation, which is accelerating following the repeal of a federal ban on sports betting in May 2018. Our customers rely on our software to run their online casinos and sportsbooks legally, profitably and with engaging content.","COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",136,2002,Contact Information,70 Newcomen Street London SE1 1YT,+44 (0) 20 7292 6262,http://www.GAN.com,GAN Limited,Financial Information,$209.9mil,$29.97 mil (last 12 months),$2.17 mil (last 12 months),IPO Profile,GAN,NASDAQ,6.4,$8.50 - $8.50,$54.2 mil,B. Riley FBR,Macquarie Capital,5/5/2020,,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Although we intend to target North American or European companies, our focus will be to acquire a business in the healthcare industry in the United States. We believe the healthcare industry, particularly the life sciences sector, represents an enormous and growing target market with a large number of potential target acquisition opportunities. More specifically, we intend to target companies in the biopharmaceutical sector. Since the beginning of 2020, over 85 SPACs focusing within the broader healthcare market have been formed, over 50 of which were this year, according to SPAC Analytics (as of Oct. 11, 2021).  Our founders have 120 years of combined experience in the life sciences. Marc F. Pelletier, PhD (Chief Executive Officer, co-founder) and Paul R. McGuirk, PhD (Chief Development Officer, co-founder) worked recently together on Aeromics, Inc., and Frank C. Sciavolino, PhD (board member, co-founder) co-founded Thetis Pharmaceuticals with Greg Gardiner, our company’s namesake. Prior to launching Aeromics and Thetis, Paul R. McGuirk and Frank C. Sciavolino held senior positions at Pfizer, Executive Director and Vice President of R&D Operations, respectively, and were responsible for four marketed drugs at Pfizer, with over $25 billion in sales. Marc F. Pelletier also co-founded Iridia, Inc., a company that is developing DNA-based memory chips. (Note: Gardiner Healthcare Acquisition Corp. priced its SPAC IPO on Dec. 21, 2021, in line with the terms in its prospectus: 7.5 million units at $10 each to raise $75 million.)",BLANK CHECKS,0,2021,Contact Information,"3107 Warrington Road Shaker Heights, OH 44120",(216) 633-6708,,Gardiner Healthcare Acquisition Corp.,Financial Information,$93.75mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,GDNRU,NASDAQ,7.5,$10.00 - $10.00,$75.0 mil,Chardan,-,12/22/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are one of the largest and most diversified gaming and entertainment companies in Canada, based on both number of properties and number of gaming positions. Our operations are currently comprised of 26 gaming properties in British Columbia, Ontario and Edmonton, Alberta, with 13,618 slot machines, 429 table games, including 48 poker tables, 561 hotel rooms, 80 food and beverage, or F&B, outlets and 8,500 employees. We have demonstrated a track record of successfully operating, developing and acquiring gaming properties and contributing to the communities in which we live and work.",HOTELS & MOTELS,8500,2007,Contact Information,"4331 Dominion Street, Burnaby, British Columbia V5G 1C7",(604) 412-0166,http://www.gatewaycasinos.com,Gateway Casinos & Entertainment Ltd.,Financial Information,,$624.1 mil (last 12 months),$127.6 mil (last 12 months),IPO Profile,GTWY,NYSE,0.0,$0.00 - $0.00,$100.0 mil,Morgan Stanley/ Credit Suisse/ Goldman Sachs,CIBC Capital Markets/ Macquarie Capital/ SunTrust Robinson Humphrey,,Withdrawn,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: The company was formerly known as Sunshine Silver Mining & Refining Corp. We have applied to list our common stock on the New York Stock Exchange (“NYSE”) and the Toronto Stock Exchange (“TSX”) under the symbol “GATO.”) We are a U.S.-based precious metals production, development and exploration company with the objective of becoming a premier silver producer. We are focused on the production and development of the Cerro Los Gatos Mine and the further exploration and development of the Los Gatos District in Chihuahua, Mexico. *Note: Sales and net loss figures are for 2019, from the prospectus. The price of silver rallied strongly to multi-year highs in September 2020. As of Sept. 30, 2020, the LBMA silver price has increased 31% compared to the year-end 2019 price. The recent silver price appreciation is believed to have been driven by accommodative monetary policy, aggressive stimulus measures and accelerating investment demand in the midst of the COVID-19 pandemic, as well as disrupted production and a recovery in industrial consumption. These factors have enhanced silver’s appeal to investors seeking a hedge against inflation, a decrease in the value of the U.S. dollar, and general economic and geopolitical uncertainty. Trading volumes at futures and options exchanges have increased significantly, and exchange-traded products (“ETPs”) inflows have been strong. As of Sept. 30, 2020, silver has a long-term research analyst average consensus price outlook of $20.00/oz. (LBMA stands for the London Bullion Market Association.)",Gold & Silver Ores,0,2020,Contact Information,"8400 E. Crescent Parkway, Suite 600 Greenwood Village, CO 80111",(303) 784-5350,,Gatos Silver,Financial Information,$431.2mil,$36.1 mil (last 12 months),$-22.1 mil (last 12 months),IPO Profile,GATO,NYSE,21.4,$7.00 - $7.00,$149.8 mil,BMO Capital Markets/Goldman Sachs/ RBC Capital Markets,Canaccord Genuity/ CIBC Capital Markets,10/28/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
