General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change,nan
General Information,"We intend to acquire and operate a business in the consumer and consumer-related products and services industries. We believe our management team is well suited to identify opportunities that have the potential to generate attractive risk-adjusted returns for our stockholders. However, we are not limited to these industries, and we may pursue a business combination opportunity in any business or industry we choose, and we may pursue a company with operations or opportunities outside of the United States. (Note: Haymaker Acquisition Corp. III priced its SPAC IPO on March 1, 2021, in line with the terms in its prospectus: 30 million units at $10 each to raise $300 million.)",BLANK CHECKS,0,2021,Contact Information,"501 Madison Avenue, Floor 12, New York, NY 10022, US",(212) 616-9600,,Haymaker Acquisition Corp. III,Financial Information,$375mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HYACU,NASDAQ,30.0,$10.00 - $10.00,$300.0 mil,Citigroup/ Cantor,-,3/2/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to acquire and operate a business in the consumer and consumer-related products and services industries and believe our management team is well suited to identify opportunities that have the potential to generate attractive risk-adjusted returns for our stockholders. However, we are not limited to these industries, and we may pursue a business combination opportunity in any business or industry we choose, and we may pursue a company with operations or opportunities in any geographic location.",BLANK CHECK,0,2021,Contact Information,"501 Madison Avenue, Floor 5 New York, NY 10022",(212) 616-9600,,Haymaker Acquisition Corp. IV,Financial Information,$326.25mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HYIVU,NASDAQ,26.1,$10.00 - $10.00,$261.0 mil,Cantor/ William Blair,-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"“With roots that go back nearly a century, Hayward has grown from a small, family-run company to a leading manufacturer of pool equipment and provider of enjoyable outdoor experiences.” Hayward CEO and President Kevin Holleran writes in his message, which opens the prospectus. Here’s more from the latest S-1/A filing: “We have an estimated North American residential pool market share of approximately 30%. We believe that we are well-positioned for future growth. We are an industry-leading global designer, manufacturer and marketer of a broad portfolio of pool equipment and associated automation systems. With the pool as the centerpiece of the growing outdoor living space, the pool industry has attractive market characteristics, including significant aftermarket requirements, innovation-led growth opportunities and a favorable industry structure. We are a leader in this market with a highly recognized brand, one of the largest installed bases of pool equipment in the world, decades-long relationships with our key channel partners and trade customers and a history of technological innovation. Our engineered products, which include various energy efficient and more environmentally sustainable offerings, enhance the pool owner’s outdoor living lifestyle while also delivering high quality water, pleasant ambiance and ease of use for the ultimate backyard experience. Aftermarket replacements and upgrades to higher value Internet-of-Things-enabled (“IoT”) and energy efficient models are a primary growth driver for our business as we estimate that aftermarket sales represented approximately 75% of net sales in Fiscal Year 2020 (the year ended Dec. 31, 2020). (Note: Hayward Holdings priced its IPO of 40.28 million shares at $17 each – the low end of its $17-to-$19 range – on March 11, 2021, to raise $684.76 million.)",Pool Equipment & Supplies,2555,1925,Contact Information,"400 Connell Drive Suite 6100 Berkeley Heights, NJ 07922",(908) 351-5400,http://www.hayward-pool.com/,"Hayward Holdings, Inc.",Financial Information,$3902.52mil,$875.4 mil (last 12 months),$43.3 mil (last 12 months),IPO Profile,HAYW,NYSE,40.3,$17.00 - $17.00,$684.8 mil,BofA Securities/Goldman Sachs/Nomura/Credit Suisse/Morgan Stanley/Baird/Guggenheim Securities/Jefferies,BMO Capital Markets/KeyBanc Capital Markets/William Blair/Houlihan Lokey/Moelis & Co.,3/12/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are HBT Financial, Inc., a bank holding company headquartered in Bloomington, Illinois. As of June 30, 2019, we had total assets of $3.2 billion, loans held for investment of $2.2 billion, total deposits of $2.8 billion and stockholders’ equity of $340 million. Through our two bank subsidiaries, Heartland Bank and Lincoln Bank, we provide a comprehensive suite of business, commercial and retail banking products and services to businesses, families and local governments throughout Central and Northeastern Illinois. We currently operate 61 full-service and three limited-service branch locations, and have a leading deposit share, which we define as a top three deposit share rank, in the majority of our core markets in Central Illinois that we attribute to our long track record of providing relationship-based and personalized service to our customers and communities.",STATE COMMERCIAL BANKS,742,1920,Contact Information,"401 North Hershey Road, Bloomington, IL 61704, US",(888) 897-2276,http://www.hbtbank.com,HBT Financial,Financial Information,$421.2mil,$143.5 mil (last 12 months),$62.9 mil (last 12 months),IPO Profile,HBT,NASDAQ,8.3,$16.00 - $16.00,$132.8 mil,"Keefe, Bruyette & Woods (A Stifel Company)/ J.P. Morgan",RAYMOND JAMES/ Sandler O'Neill + Partners/ D.A. Davidson & Co.,10/11/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We seek to identify businesses that provide disruptive technology or innovations within the financial services industry. (Incorporated in the Cayman Islands) Our areas of interest include FinTech, retail banking and payment transfer, payments processing, insurance, asset and wealth management, real estate, lending and leasing, specialty finance, cybersecurity, data providers, cloud computing, security, and digital assets and blockchain technology. Our sponsor, HCM Investor Holdings, LLC, is affiliated with Hondius Capital Management, LP. Hondius Capital Management, LP is an SEC registered investment adviser that provides discretionary investment advisory services to private fund clients. (Note: HCM Acquisition Corp. priced its SPAC IPO on Jan. 20, 2022, in line with the terms in its prospectus: 25 million units at $10 each to raise $250 million.)",BLANK CHECKS,0,2021,Contact Information,"100 First Stamford Place, Suite 330 Stamford, CT 06902",(203) 930-2200,,HCM Acquisition Corp.,Financial Information,$312.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HCMAU,NASDAQ,25.0,$10.00 - $10.00,$250.0 mil,Cantor,-,1/21/2022,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are an innovative preclinical stage biopharmaceutical company focused on discovering and developing novel immunotherapies to lengthen health span by disrupting the link between chronic, low-grade inflammation and age-related diseases. We believe age-related low-grade chronic inflammation, or “inflammaging,” is a significant contributing factor to several chronic diseases and conditions, such as cancer, cardiovascular disease, diabetes, neurodegenerative disease, and autoimmune disease. Our gateway indication is oncology. Advances in immuno-stimulatory and anti-immunosuppressive therapeutics have revolutionized cancer treatment. Our lead molecule, HCW9218, is designed with both of these functionalities – it rejuvenates the immune system to reduce senescence, and it captures transforming growth factor-ß (“TGF-ß”) to neutralize its immunosuppressive activity. We are preparing to submit an investigational new drug application (“IND”) for a Phase 1b/2 clinical trial in pancreatic cancer to evaluate HCW9218. We are initially developing HCW9218 as an injectable immunotherapeutic for patients with solid tumors. Our initial goal is to evaluate HCW9218 in patients with cancer as we attempt to minimize the side effects of chemotherapy through stimulating anti-tumor effector immune cell responses, blocking TGF-ß immunosuppressive activity, eliminating chemotherapy-induced senescent cells in tumors and normal tissues (i.e., senolytic effect), and reducing senescence-associated secretory phenotype (“SASP”) factor activity (i.e., senomorphic effect). clinical trials. (Note: HCW Biologics priced its IPO on July 19, 2021, at $8 – the low end of its $8-to-$10 range – but increase the number of shares to 7 million, up from 5.6 million shares in the prospectus, to raise $56 million – above the $50.4 million estimate.)",PHARMACEUTICAL PREPARATIONS,40,2018,Contact Information,"2929 N Commerce Parkway Miramar, FL 33025",(954) 842-2024,http://www.hcwbiologics.com/,HCW Biologics Inc.,Financial Information,$319.45mil,$4.1 mil (last 12 months),$-6.3 mil (last 12 months),IPO Profile,HCWB,NASDAQ,7.0,$8.00 - $8.00,$56.0 mil,EF Hutton,Revere Securities,7/20/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: This is a blank-check company’s IPO (a unit offering) under the SAIL structure. SAIL is an acronym for Stakeholder Aligned Initial Listing securities. Each SAIL (SM) security has an offering price of $10.00 and consists of one share of Class A common stock and one-fourth of one redeemable warrant. Each whole warrant entitles the holder thereof to purchase one share of Class A common stock at a price of $11.50 per share, subject to adjustment, terms and limitations as described herein.) Health Assurance Acquisition Corp. is a new blank check company formed by Hemant Taneja, Glen Tullman, Stephen K. Klasko MD, MBA, Quentin Clark, Jennifer Schneider, MD, Anita V. Pramoda and Evan Sotiriou, to execute its part in a broad mission of enabling the digital transformation of care, bringing disruptive innovation to the healthcare system through technology.",BLANK CHECKS,0,2020,Contact Information,"20 University Road Cambridge, Massachusetts 02138",(617) 234-7000,,Health Assurance Acquisition Corp.,Financial Information,$525.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HAACU,NASDAQ,50.0,$10.00 - $10.00,$500.0 mil,Morgan Stanley,AmeriVet Securities,11/13/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a leading provider of data and analytics technology and services to healthcare organizations. Our Solution comprises a cloud-based data platform, analytics software, and professional services expertise. Our customers, which are primarily healthcare providers, use our Solution to manage their data, derive analytical insights to operate their organization, and produce measurable clinical, financial, and operational improvements. We envision a future where all healthcare decisions are data informed.","COMPUTER PROGRAMMING, DATA PROCESSING",700,2011,Contact Information,"3165 Millrock Drive #400, Salt Lake City, UT 84121, US",(801) 708-6800,http://www.healthcatalyst.com,Health Catalyst,Financial Information,$859.4mil,$127.2 mil (last 12 months),$-190.0 mil (last 12 months),IPO Profile,HCAT,NASDAQ,7.0,$26.00 - $26.00,$182.0 mil,Goldman Sachs/ J.P. Morgan/ William Blair,Piper Jaffray/ Evercore ISI/ SVB Leerink/ SunTrust Robinson Humphrey,7/25/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a blank check company formed under the laws of the State of Delaware on December 6, 2018. We were formed for the purpose of effecting a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses, which we refer to throughout this prospectus as our initial business combination. Although there is no restriction or limitation on what industry our target operates in, it is our intention to pursue prospective targets that are focused on healthcare innovation. We anticipate targeting companies domiciled in North America or Europe that are developing assets in the biopharma and medical technology sectors, which aligns with our management team’s experience in healthcare investing and drug development.",BLANK CHECKS,0,2018,Contact Information,"412 West 15th Street, Floor 9, New York, NY 10011, US",(646) 343-9280,,Health Sciences Acquisitions,Financial Information,$125.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HSACU,NASDAQ,10.0,$10.00 - $10.00,$100.0 mil,Chardan/ UBS Investment Bank,-,5/10/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Health Sciences Acquisitions Corporation 2 is a blank check company incorporated as a Cayman Islands exempted company for the purpose of entering into a merger, share exchange, asset acquisition, share purchase, recapitalization, reorganization or similar business combination with one or more businesses or entities. Although there is no restriction or limitation on what industry our target operates in, it is our intention to pursue prospective targets that are focused on healthcare innovation.",BLANK CHECKS,0,2020,Contact Information,"40 10th Avenue, Floor 7, New York, NY 10014, US",(646) 597-6980,,Health Sciences Acquisitions Corp 2,Financial Information,$178.4mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HSAQ,NASDAQ,13.9,$10.00 - $10.00,$139.0 mil,Chardan/ Barclays,-,8/4/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We were founded by Stanley Capital, an independent investment firm focused on the growing sustainable investment sectors of healthcare, technology and resource efficiency. We intend to capitalize on the multiple decades of combined investment experience of our management and board of directors to identify and acquire a business that we believe provides opportunities for attractive risk-adjusted returns in the healthcare and pharmaceutical sector with technological transformation potential. (Incorporated in the Cayman Islands) Stanley Capital was founded by senior investment professionals Simon Cottle, James Brooks and Patrick Hargutt. The team has a proven track record of actively delivering value creation, investing in and managing transactions with equity invested totaling approximately $3.7 billion. Simon Cottle serves as the chairman and CEO of Healthcare AI Acquisition Corp. Mr. Cottle is a founding partner at Stanley Capital and a board member of Noden Pharma. Mr. Cottle was an Olympic oarsman in the Athens Olympic Games in 2004. He holds an MBA from INSEAD and MA from Oxford University, where he was a Richard Blackwell Scholar and Oriel College prize winner in 1997 and 1998. Mr. Cottle was an IBM university scholar in computer programming and technology consulting prior to and during his time at Oxford University.",BLANK CHECKS,0,2021,Contact Information,190 Elgin Avenue George Town Grand Cayman KY1-9008 Cayman Islands,(345) 815 8548,,Healthcare AI Acquisition Corp.,Financial Information,$250.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HAIAU,NASDAQ,20.0,$10.00 - $10.00,$200.0 mil,Citigroup/ Jefferies,-,12/10/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to concentrate our efforts in identifying businesses across the healthcare industry, with a focus on digital and telehealth, life sciences, innovative medical devices, and healthcare technology. Dr. David Milch is our board chairman. He began his career in medical research and thereafter began investing in venture opportunities in technology and life sciences. William Johns is our CEO and a director. Mr. Johns is a healthcare information technology entrepreneur and former investment banker. His healthcare expertise encompasses development of advanced software applications to improve the efficiency of healthcare care delivery, provide accurate reimbursement, and provide maintenance of medical records. His investment banking experience includes over 20 years with Salomon Brothers, Citigroup and Fox-Pitt, Kelton.",BLANK CHECKS,0,2020,Contact Information,"301 North Market Street Suite 1414 Wilmington, DE 19801",(561) 810-0031,,Healthcare Capital Corp.,Financial Information,$250mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HCCCU,NASDAQ,24.0,$10.00 - $10.00,$240.0 mil,Cantor,-,1/15/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"While we may pursue an acquisition opportunity in any business industry or sector, we intend to capitalize on our management team’s differentiated ability to source, acquire and manage a business in the healthcare industry.",BLANK CHECKS,0,2019,Contact Information,"623 Fifth Avenue, 14th Floor, New York, NY 10022, US",(646) 975-6581,,Healthcare Merger,Financial Information,$281.4mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HCCOU,NASDAQ,20.0,$10.00 - $10.00,$220.0 mil,Cantor,-,12/13/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
